web-scraper-order	content	like	collection	comment	com1	com2	com3	com4	com5
1681275774-11	"/
Hi！当地较为可爱的馨馨来分享啦！
珠海新开了一间东北烤肉你们不能不知道！
zui便宜9.9??一份 真的绝绝子
你以为这么火 只是因为便宜吗?
菜品也是一整个爱住 ??
店员还会一直帮忙烤 服务也??
/
自取菜品的方式 感觉每样都想吃??
按照盘子颜色算??
-
橘色??9.9 ；白色??19.9
粉色??13.9 ；蓝色 ??26.9
绿色??33.9 ；黄色??39.9
-
除了烤的肉肉和菜品 还有别的点单类??
种类丰富 不要怕吃肉会腻
东北冷面??捞汁系列??
川味 冒宽粉、鸭血、脑花??
-
一定不能错过东北特色饮品??
大白梨、开卫、大窑嘉宾
东北姐妹们要来吃一吃家乡味??
空运过来的哈尔滨啤酒??
和朋友们小聚的时候 就来刘炭长
/
店名??：刘炭长牛烧大块烤肉(海韵城店)
地址??：海韵城C区1层1043
营业???：10:30-22:00
/
             @薯队长 @日常薯 @薯条小助手 @小红书成长助手 @珠海微助手"	100+	100+	10+	??好吃这家	可可爱爱	好棒啊	这么便宜！	全部都想吃
1681275776-12	"据说是哈尔滨烤肉天花板 来尝尝鲜
新店还在试运营中 人多的时候有点接待不过来 好在服务好
服务员把眼肉烤过头了 老板走过来说过火了送了我们一块新的 又送了饮料过来 大窑嘉宾饮料有点好喝"	0	0	0					
1681275778-13	"大窑换了新包装 每瓶减重30ml
更难过的是 它涨价了
550ml 瘦身  520ml
连大窑都减肥成功了我却…
每一瓶大窑都少喝了一口
我最爱黑色嘉宾 你呢？"	1	0	0					
1681275781-14	"一次与大窑汽水的相遇是在某个餐馆
那次看着玻璃瓶挺不错的，就点了一瓶
但是一下口，直接干完了，后来来许续了好几瓶
这个大窑汽水简直yyds
喜欢喝汽水的可以去买几瓶尝试下
我已经买了在家喝，又买了三箱来公司分享
尤其是冰一下之后，那口感两个字：奢华"	1	0	0					
1681275783-15	"是有点像凉皮的味道，但是大拉皮好Q弹哦，18块钱一份
题外话：有没有喝过这个大窑汽水的，我有点好奇"	1	0	10+	看起来emmmm不太正宗	先别说正不正宗，18块就给你这么点？他怎么不去抢劫啊？	这个汽水很好喝	放芝麻酱了吗拉皮，，一定得放麻将的才好吃	拉皮是正宗拉皮，酱料不太对，然后分量少了。
1681275786-16	"今天是周一 却不用上班
搞点拌面随便吃吃
今日MENU：拌面??
FEAT.午餐肉??鸡翅??煎蛋??茼蒿??
今日特饮??：大窑果味汽水
今日甜品??：蛋挞?? 感谢@认真做饭的橘橘 投喂

天气好好哦 但是为了不捣乱 尽量还是不出去吧
以上 期待明日"	0	0	2	大窑还OK吗				
1681275788-17	要是都玻璃瓶更完美了	1	0	2	就得喝玻璃瓶哒				
1681275790-18		1	0	0					
1681275792-19	"墙裂推荐这个饮料????，和大窑的味道一毛一样！
这个牌子的柠檬汽水也好喝！不是那种纯柠檬味，有股特殊的香气但是不会很甜！
小鸟的可乐也比其他俄罗斯本地牌子的可乐好喝太多了，可以做百事替代品"	10+	6	0					
1681275794-20	最好吃的麻小，搭配大窑汽水，超满足我的胃??	2	0	0					
1681275797-21	怎么办！她真的好爱炫大窑	2	0	1					
1681275799-22	烧烤、聚会必备～ 童年记忆，沁心冰爽 一楼超市饮料柜组推荐…	1	0	0					
1681275803-23	"卫衣：@BrandyMelville
鞋子：@TRETORN
墨镜：@OLIVIO&CO
汽水：
@张籽沐
…"	10+	4	2	想知道裤子	第一			
1681275806-24		0	0	0					
1681275808-25	"今天来试试不加冰的调饮好不好喝
之前做过不加冰的酒酿，好喝的，因为酒酿热着也能喝
大窑汽水热着可不敢想，不加冰能做调饮吗？
太能了！！！
冰镇后或室外温度（10度左右）直接可以兑浓缩咖啡
大窑嘉宾在原有的味道上，还增加了咖啡香，非常好喝
大窑桔子汽水加上浓缩咖啡，预料之中的味道，不如大窑嘉宾惊艳
如果有冰块，肯定更好喝！"	1	0	0					
1681275813-26	"现在很多烧烤店都用电烤烧烤了，我觉得烧烤好吃的关键还是要靠炭火，经过炭火洗礼的烧烤才有灵魂，有一种独特的烧烤香味。

偶然发现的一家西北羊肉串店，真的绝，羊肉串非常香，每串羊肉串中间都搭配一坨羊油，一口下去滋滋冒油，没有任何羊膻味，甚至还能吃到羊油的奶香味。再烤一个白面膜，表皮酥脆，被孜然辣椒粉包裹，配上一碗羊肉汤，配着羊肉吸溜吸溜几口汤里的粉丝，泡上烤过的白面膜，别有一番滋味。再来一瓶大窑，这才是生活呀。和老板聊了几句，说是从西北空运的羊肉，西北的羊也太懂事了。

宝子们也和我一样爱吃羊肉串吗？

           @薯队长 @吃货薯 @吃不饱同学"	10+	10+	10+	友友们，店名和位置：成都第一家资格烤羊肉（顺兴路分店），地址：双流区顺兴路一段331号	请教白饼子怎么烤不糊，而且不会太油腻	我刷你们的全是美食	我喜欢！！羊肉串！！	饿了
1681275815-27	偶尔一次去麻辣烫店里喝到的，觉得真不错，趁着近期有活动，囤了一箱！！喝起来！！	0	0	0					
1681275817-28	"吃酸菜鱼老板送的王炸汽水??
第一次喝，开架根本没见过有卖
味道又清冽又满口果汁味
又有一种小时候吃的那种老冰棍的味道
总之就是一个字～绝??"	6	0	0					
1681275819-29	吃好肉喝大窑？	10+	5	0					
1681275823-30	"?好基友约我来吃小哥哥，我真的是拒绝的。我还没从他家辣椒里缓过来。
?耐不住好基友一定要吃他家，我决定，看她吃。
?大概她看我太可怜，偷着给我点了炸串…
?妈呀，他家炸串也太??了吧。这算是不务正业么？

??????庆祝我和好基友的友谊重新建立了。以后可以经常约着来了。她吃麻辣烫我撸串，哦吼吼。

【炸串】：鸡排，蘑菇，肠，鸡皮都超级好吃。一定要配上大窑嘉宾。哦，对，大窑嘉宾是俘获我的另一利器。
地址：38中大门口向西20米。实在找不到你就导航吧。很准的。
??缺点：依然人很多，实在没办法。
    
@薯队长 @吃货薯"	10+	10+	6	不错	我最爱	真的好吃！	哇，想吃炸串。	看着就好吃！
1681275826-31	"大姨妈准时的来啦
晚上去吃个麻辣烫，吃饭时候我们猜这个饮料多少钱，走的时候向服务员证实了一下，9块一瓶，我们还买了俩，这不纯纯大冤种哈哈哈"	2	0	1	今日合计花费:173.2+55+1000+81.2=1309.4				
1681275828-32	"酱牛肉
素炒油麦菜
培根蒜薹
鸡蛋香菇炒青椒
饮料
大窑荔味"	2	0	0					
1681275830-33	"听说发源于安徽太和县，在河北很出名。具体的不了解，鹏哥说这个味道还算正宗，在一个小巷子里，小小的一家店。
我大呼市的大窑嘉宾估计遍布全国了哇"	3	0	0					
1681275832-34	"作为一个荔枝味饮料爱好者，我不允许还有姐妹没喝过这个荔枝味的大窑！
（个人口感）甜度大概是：宏宝莱＞珍珍＞大窑
甜度有差别，但不太多。荔枝味还是都比较甜的，个人觉得珍珍和大窑都蛮好喝，但大窑胜在包装真的好看！dbq我确实是有点颜控，总之喜欢荔枝味的可以尝尝，性价比蛮高"	1	0	0					
1681275834-35		2	0	0					
1681275839-36	"今天离开兰州，坐??去张掖啦～

??当天行程：金强兰州牛肉面-兰州西(12:06)-张掖西(16:24)-都城假日酒店-鼓楼-甘州市场

?今天印象最深的是坐高铁??从兰州一路到张掖的风景，看到了【祁连山脉】，看到了吃草的牛羊，看到了雪山，这是本次大西北之旅，我们第一次感受到到祖国的辽阔。
?到了张掖的酒店办理完入住后，我们先去了张掖的【鼓楼】看了看（不能爬上去哦）～再去著名的【甘州市场】夜市打卡。张掖以前叫甘州，夜市名字由此而来。夜市规模不大，我们觉得最好吃的是洋芋擦擦（一种土豆小吃）和不同于南方的一种葱油饼，排队很长～
?夜市附近也有不少店可以选择，没想到我们吃了顿韩国烤肉…哦，汉斯小屋和大窑汽水都很好喝～

明天正式开启张掖的行程啦～"	8	8	0					
1681275841-37	"??感谢你特别邀请~
来见证你的爱情。
可惜这是你和他的婚礼，
而我只是嘉宾……"	1	1	1	批发可以吗				
1681275846-38		2	0	0					
1681275850-39	"最近唐山又闷又热，前两天直逼37℃，真的热死宝宝了
这几天吃了太多冰激凌和雪糕，觉得还是要控制控制了，糖量爆表
今天看到有这个网红酷可椰，开着挺方便，不像以前我得上菜刀，四步骤轻松打开，还挺方便
去年浙仙梅的杨梅汁没断过，今天在水果店看到了成有王记王梅汁价格跟我在网上买的也差不多，买来解渴真挺好，也没什么添加剂，孩子喝也没啥负担
当然，还有差点忘了咱们儿时的记忆，大窑，荔枝味，橙子味和大窑嘉宾，冷藏一会，拿出来，充裕的气泡，解渴极了"	2	1	0					
1681275852-40	"创新樱花与白桃搭配????口味不重young~！
0糖0脂0卡，双重小清新，直击少女心
苏打气泡水气泡加持，沁爽美味
趣喝水，解生活！让喝水不再乏味～"	2	0	1	这是大窑官号吗				
1681275856-41	"有人喜欢喝这个吗？哄哄喝凹
忙碌得一周，工作加《好运来》加冰美式 ，才最配
明天就要恢复正常上班了
6月，希望期待已久的愿望能够实现吧！"	0	0	1	喝完易拉罐的饮料，喜欢把瓶子捏扁的有木有				
1681275859-42		1	0	0					
1681275861-43	西安人让餐饮商家搞得喝不起冰峰了，被大窑的丹荔味碳酸饮料果断圈粉！   @大窑嘉宾	3	0	0					
1681275863-44	"逛超市发现有大窑嘉宾
小时候家庭聚会才能喝到的饮料
还有活动
果断买买买
回家发现没有起子
怎么打开
默默打开了拼夕夕"	1	0	0					
1681275866-45	"最近一次喝它还是西藏自驾游的时候，果味汽水爽，这次网上又买了一些，冰镇着喝，夏天的至臻味道！！ 

小红书上都说是网红饮料，啥啥都网红？唉，这个应该很久很久的童年饮料吧！
@大窑嘉宾"	0	0	0					
1681275868-46	欢迎朋友们来品尝哦	7	1	10+	今晚不见不散 希望有海带丝	可以快点上外卖吗	有生包么？		
1681275870-47	营销真的能改变我们的命运吗？	10+	10+	2	小黄车在哪儿	有用信息.赞			
1681275872-48	吃面的时候注意到有个新口味就试了试，橙子和芒果的味道结合的很好	0	0	0					
1681275875-49	深夜烧烤吃起来	2	0	0					
1681275878-50	先说明一下，图片上的菜是单位旁边的一个开了十来年的饭店出品的菜，不是我做的。看到好多吐槽东北菜的，在四川吃的东北菜不正宗，也要吐槽东北菜，我真是无语，好歹您也来东北尝尝再劝退呢。图一锅包肉，图二地三鲜，图三左边是蒜蓉茼蒿，右面是虾仁芦笋，主食半斤葱花饼半斤草帽饼，酒水是两瓶大窑，橙子和荔枝味儿，急头白脸吃一顿，166RMB	100+	10+	100+	锅包肉跟地三鲜真是太地道了好馋	我也爱吃这种扑鼻而来醋味的锅包肉！但我好像从小到大都没吃过番茄酱的锅包肉	全网哪儿看不到正宗的东北菜啊他们就是要喷 你塞他们嘴里都是一样的喷	这个锅包肉看起来就是端上来有醋味儿的锅包肉	你这看起来好像四厂招待食堂四厂最好的菜馆
1681275880-51		10+	10+	0					
1681275883-52	"日落尤其温柔 人间皆是浪漫
边感受日落幸福感
边吧唧一口新装pet大窑橙诺
舌尖触碰新鲜柑橘的自然味道
像是刚刚剥开果皮
迸溅出来的果汁
喔~爱了爱了
这惹人眼球的橙色
这滋滋冒泡的汽水
都像初见你时难掩的悸动~
心脏在咚咚跳
气泡在嘟嘟冒"	10+	0	0					
1681275886-53	#大窑嘉宾	0	0	0					
1681275888-54	所以平常喝的汽水含有酒精？  感觉好像有点杠精那个味道	1	0	4	可能这个瓶子比较像啤酒瓶？	我小时候有一种饮料叫小香槟，就这个味，那会太小也不懂，可能那个是含酒精的			
1681275890-55		3	1	0					
1681275892-56	过年饮料就这么囤，通通平价量大还好喝，年夜饭直接喝到爽！	10+	10+	0					
1681275894-57	"有小伙伴和我一样喜欢喝大窑嘉宾吗？感觉是小时候吃麻辣烫必喝的饮料。在多伦多竟然也可以买到了，再点一个麻辣烫就完美了。????
??坐标多伦多，开心??"	4	0	5	在哪买的	这个挺好喝的			
1681275897-58	"第一次喝这种果味汽水
服务员推荐的时候，我还以为这是啤酒??
这算是这边儿的特产吗?
瓶子上的战狼可真醒目"	0	0	2	内蒙古呼和浩特特产	呼市特产，荔枝味也好喝			
1681275899-59	"??
2022年第18本—《素食者》
亚洲首位国际布克文学奖获奖作品
豆瓣评分：8.0
我的评分：8.5
不太适合夜深人静自己阅读的一本书
人物叙述视角切换
语气口吻平淡如常
读起来却有种恐怖小说的感觉
两位女主本身就是极度压抑的
被身边人一点点啃噬后 迈向深渊
我很喜欢最后的结局
自我救赎 看淡一切 仿佛仅是一场梦
  
-
??
12123申请免检标志没通过
我去交警大队问个究竟
结果告诉我2024年再来就成
图个心安吧
 
-
??
中午给自己简单做个烤牛肉吃
配上大窑 满足
 
-
??
配眼镜：太原街-星河上的船
在抖音上看到的店面 大众点评评分高
验光—选镜框—选镜片
直接京东邮寄 做等后天收货
适合我个人的镜片和镜面推荐 舒服的购物体验
距离上次配镜已有三年 左眼涨50度散光 右眼涨25度
我都已经28啦 为什么还在涨眼睛度数！！！

-
??
看姐姐的夜晚
当年的那姐年少轻狂的哟，太搞笑了

-
??
时隔好久的单词卡
光复习就有100个！"	0	0	0					
1681275901-60	"看某音博主喝的
然后偶然看到有卖的就买来尝了尝
比北冰洋大 还挺好喝的 不是很甜"	4	0	0					
1681275904-61	#大窑嘉宾#东北涮毛肚	0	0	0					
1681275906-62	内蒙人应该都喝过的汽水吧，夏天必备了，外面吃饭必点的汽水，必须得是冰镇的，个人认为玻璃瓶的好喝，罐装的总感觉缺点东西。	0	0	1	bu				
1681275908-63	这个饮料可以的  有点像大窑嘉宾  可以说是大窑嘉宾的平替了	8	6	10+	这很多这个味的还有别的牌子。有一种糖精味。喝完贼渴	宿舍让抽烟吗	在那边宿舍不让喝酒，但是想喝酒怎么办？悄悄喝会被抓吗？	山西陈醋	
1681275910-64	去一家小面馆吃饭。老板娘强力推荐说最近专门有人喝这个饮料，非常火，说是像小时候喝的香槟的味道。我就和我小伙伴儿打开一瓶试了试，就是汽水，一开始还以为是啤酒瓶，喝起来就是小时候冰糕化掉水水儿的味道，还行无功无过	4	0	2	大窑没有汉斯小木屋好喝，汉斯小木屋没有小时候的香槟好喝	对，喝起来像小时候吃的冰袋化了的那个味道			
1681275913-65	最可惜的就是没去大窑上班啊，真是大窑的损失啊	2	0	0					
1681275915-66	一款类似美年达的汽水。内蒙特产。味道接近美年达。喝过玻璃瓶。也喝过塑料瓶。喜欢美年达口味的朋友值得一试。。。！	4	0	3	纠错一下，它是宁夏特产				
1681275917-67	"喝第一口就直接梦回童年了哈哈哈哈哈哈
好喝好喝，就是一瓶量太大了，一个人喝不上
味道像极了小时候在拉面馆买的瓶装汽水，很惊喜！！！"	2	0	2	这个还有啊，之前去呼市的时候喝过，特别怀念				
1681275919-68	还是没逃过	1	0	1	雷碧				
1681275921-69	"大毫升
寄托着美好大祝福
一起举杯大分享
共同期待2022年大福气"	1	1	2	我轻轻的来了，又悄悄的走了	楂汽为什么买不到了！！			
1681275924-70		2	1	2	老冰棍的味道吗				
1681275926-71	"喝不腻的大窑呀～??
北方汽水中的yyds～"	1	0	0					
1681275930-72	"一家三口一人一句词 最后发现居然是个工整的对子
某人说我的混色多头玫又土又村 可是过节家里不就得热热闹闹嘛
石榴好吃就是剥起来费劲 腰疼
小朋友的两张手抄报已经完成 还在拼命努力完成语文练习册"	0	0	0					
1681275932-73	#大窑嘉宾	1	0	0					
1681275934-74	"哈哈哈，回来上班就赶紧冲了，
找同事拿了罐，吃完饭再尝尝"	10+	10+	10+	你先喝，好喝我再喝	好喝吗	我没喝过，你是哪个城市的	好喝吗	酸不
1681275936-75	"你喝过大窑嘉宾吗
火锅烧烤必备单品，你值得拥有哈哈"	3	1	0					
1681275939-76		0	0	10+	李子园不行了，清汤寡水的十年前还很浓的奶味，现在感觉像兑水兑多了一样	乳酸菌味的Rio真的让我喝不了酒精饮料的人都很爱	大窑桔子味也好喝	李子园还有元气森林都不喜欢 rio和椰树我同意 别的没喝过	大窑是真的好喝！！
1681275941-77	"真好喝，
之前不喝酒的 发现这个??很甜很好喝
那个饮料是我小时喝过的那个味道，
啊。找到了简单的快乐"	2	1	10+	大窑就很上头，不喝还好，喝了就爱上	哈哈哈两种最垃圾的饮品 是你最爱的	大窑嘉宾不是酒啊，是饮料还有橙子味的		
1681275943-78	第一次喝大窑是在哈尔滨，第二次在宏村，从黄山回来就一发不可收拾，网购了半打都说只有橙汁味儿好喝，我觉得都还行都挺好喝！	2	0	8	最喜欢荔枝味的	好吧谢谢	很廉价，不好喝，还贵		
1681275945-79	在超市里发现一排吴京，以为是啤酒，仔细一看是汽水，不知道有没有谁喝过？评测如何？好喝吗？	1	0	5	机缘巧合刷到了，吉林人现身说法，就算是还可以，感觉东北好多这种口味的，甜甜的有汽儿的，感觉就是老汽水的味道，江苏的朋友喝过一次以后每次看到了都要喝，没有负反馈，可能也是新奇吧	很像小时候的瓶装汽水味	黑的好喝		
1681275948-80	#大窑嘉宾	4	0	0					
1681275953-81	"齐齐哈尔烤又店眼看越开越多
终于拔草吃上了！香是真的嘎嘎香
但不知道是东北人真的重口味还是店的问题
调味都很咸，包上生菜吃才能好一点
非常需要来一碗米饭??
冻梨和大窑嘉宾也终于安排上了！"	2	0	0					
1681275957-82	夏天就想喝冰镇大窑在南方四十度的高温里，怀念那年零下三十五度的大东北怀念在滚烫的大炕上吃地道的大饺子~在冰天雪地里泼水成冰~围炉而坐吃铁锅炖喝大窑还有那座静谧的童话小镇，老好啦！	4	0	10+	嘉宾和荔枝的最好喝了，每次看到都欲罢不能哈哈哈哈	前几天在甘肃喝了一瓶	那年的刘海，奔流到海不复回		
1681275960-83	"呼市人个人的咖啡！
从咖啡中寻找熟悉的味觉记忆

日悬咖啡 是一款酸甜型汽泡咖啡饮料
我们加入本土的大窑嘉宾和鲜榨的柠檬汁
整体风味酸甜清爽，气泡感实足！

有一次，@功夫老李 和我说，他在西安喝到了一款用西安当地饮料做的咖啡特别好喝，能不能让我用我们从小喝的饮料@大窑嘉宾 也做一款我们呼市小孩的咖啡饮料，其实一开始是不好做的，因为大窑嘉宾独特的甜感和咖啡融合后会遮蔽掉酸味同时会产生很奇怪的风味，从风味理论来讲，冷饮缺乏酸味会不好喝，所以我们想到了用天然的鲜榨柠檬汁来补足酸味，同时增加自然的香气。经过比例实验后，我们终于找到三种物质最佳的比例，然后就做出了这款呼市孩子人见人爱的饮品！"	10+	10+	10+	wow 下次要去尝尝	东万达的店也有这款咖啡吗？	好喝的	喝了 确实日悬	爱与情怀
1681275962-84	大窑嘉宾真的超级好喝，吃饭解腻，喝起来清清爽爽，是我最爱的饮品yyds	2	0	0					
1681275964-85		10+	4	0					
1681275966-86	"Today ｜???业的??
?
?这一胎很大窑

弟弟妹妹一目了然了"	4	0	2	四字名字 厉害了				
1681275968-87	"用HUAWEI智慧识图识别了很多农村的果树和菜，准确里还可以。Apple??的App  Store有一定的不可替代性，HUAWEI这是要软件硬件两手抓呀，自带应用就定了半边天，我现在App也实现极简了。
农村小院好好玩，可惜北方土比较多，风沙比较大，感觉农村打扫不干净那种。不知道南方会不会好一点。还有就是上水下水、自己供暖没那么方便，不过现在大家都改造的很好住了。
现在梦想是在苏州好好打工，然后在苏州周边乡镇拥有自己的宅子、院子，接父母家人过来养老？会不会比北方环境好一点，不知道好不好实现，或者过几年会不会变？"	1	1	2	那个是沙葱吧				
1681275971-88	今日趣事：中午和同事一起定外卖 商家说赠大窑嘉宾饮料 我同事喝了大半瓶说味道不好喝 很奇怪 非常奇怪 好像假的 不敢喝了 结果一看 是大窖嘉宾 大jiào？？！！昨天可是315啊 杨国福这老小子他怎么敢？？（可能商家也是受害者吧 我宁愿这么想）	1	0	10+	食品安全迫在眉睫！！！！	我没听过这饮料…然后看你说的…窑和窖这俩字我看了半天…最后光荣的这俩字都快不认识了	最搞笑的是，这俩字我都不能自信的念出来了。因为念“大窑”，老板给我上一瓶“大窖”；念“大窖”，给上“大窑”。好几次了	还不如不送，这谁敢喝	以前在上海上班的时候，还定到过，店里自己拿橙子粉做的饮料！没敢喝，后来也不定他家了！
1681275973-89	"【心愿火锅局】,吴京代言大窑嘉宾汽水荔枝果味汽水500ml*8罐*2箱
??礼金：8沅
??【暗号68259】"	10+	2	1	不停产无限回购				
1681275975-90	"最近大窑的风很大
没忍住买了一箱尝尝
感觉就像小时候学校门口五毛钱的汽水呀…
味道不是很高级？？
感觉还没有雪碧和芬达好喝"	2	0	2	喝的就是小时候的味道。	我喜欢喝果味的，就是绿色的那个，我感觉像泡泡糖味			
1681275977-91	"这道菜还是很方便的
5分钟搞定
下次买个味淋调味试试
没有先用酱油?糖?料酒
 加冰??味道不错"	0	0	0					
1681275979-92	大窑橙诺和它的小伙伴们	0	0	0					
1681275982-93	橙子味道??	4	0	0					
1681275984-94		1	0	0					
1681275986-95	"陕西的特色的小吃太多了
肉夹馍 biangbiang面 辣白菜炒饺子皮 配上冰峰和大窑，简直了。对于我这个面食爱好者简直是绝了。小伙伴们去陕西千万不要错过哦。"	3	0	1	馋馋				
1681275988-96	"最近大窑好像突然出现在大街小巷的每个大店小店
六块一瓶跟元气森林比都差不多了诶
但是感觉没有元气森林好喝
又好像比雪碧可乐好一点
友友们觉得呢"	6	0	0					
1681275991-97	大窑是哪儿的啊？??坐标哈尔滨从小喝的都是大白梨??（具体啥牌没记过，也不知道现在喝的和小时候到底一不一样）不过大窑也挺好喝的。	0	0	10+	大瑶是宁夏的	是呼和浩特的	听说是内蒙的呀 个人不是很喜欢		
1681275993-98	夏天当然要喝各种味道的汽水	0	0	1	五六块了				
1681275995-99	你们有没有见过这个包装的大窑？？	4	0	10+	见过	和玻璃瓶比气足不	只买过玻璃瓶和罐装的	有呀，三种都有	没见过
1681275997-100	#大窑嘉宾	1	0	0					
1681275999-101	，真的好好喝！含真果汁关键还便宜，5.2元520ml价格直接甩北某洋几条街，口味也不冲！真的好喝，听说还有很多系列，我要全部买来尝一下！	10+	1	10+	多多买菜三十九瓶	呼市大窑，上学时候天天喝	是玻璃瓶吗	今天第一次喝，很不错	超级好喝，这辈子第一次喝就爱上了
1681276002-102		6	0	100+	蓝莓味好喝	别人的童年味道，家乡味道，get不到正常呀！现在那么多新品好吃好喝的。但是乡味替代不了	有一次一起吃饭，我舅妈说这玩意她小时候2毛一瓶	五块钱一瓶喝它？五块钱喝可乐不好0	不喜欢  太大瓶了喝不了
1681276004-103	吃辣的火锅喝多了可乐会发苦，喝这个就正好	1	1	3	我那会儿在北京喝了觉得超级好喝，回来立马京东买了一箱				
