评论ID	品牌	结果情感	评论内容	评论日期
19111757583	简爱酸奶	正面	"东西质量非常好,与卖家描述的完全一致,非常满意,真的很喜欢,完全超出期望值,发货速度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快,很满意的一次购物"	2023-05-14
19111740709	简爱酸奶	正面	女儿喝完过敏很严重 可能是生牛乳的原因吧 奶还是蛮好的 剩下的我留着做燕麦碗了 减肥喝也很好 这个价格也可以接受 下次有活动还会买	2023-05-14
19111737335	简爱酸奶	正面	不错，就是娃不喜欢喝&hellip;&hellip;喜欢吃甜的，愁人	2023-05-14
19111698180	简爱酸奶	正面	太好吃了，点外卖的时候偶然凑单点的，一口就爱上了	2023-05-14
19111690617	简爱酸奶	正面	味道很不错，趁搞活动买的价格也很优惠，包装看起来高大上很值得信赖，吃起来奶香味浓郁，几年的米饭粒粒分明味道和奶味融合得很好，会考虑回购的	2023-05-14
19111675915	简爱酸奶	正面	很好喝，配方简单，很放心。	2023-05-14
19111677134	简爱酸奶	正面	小孩子很喜欢喝，很不错，一直喝这个品牌。	2023-05-14
19111666955	简爱酸奶	正面	价格实惠，味道也很好，不错不错	2023-05-14
19111665476	简爱酸奶	正面	物有所值，建议下次复购	2023-05-14
19111659656	简爱酸奶	正面	两个孩子爱吃，每次都要吃。	2023-05-14
19111644310	简爱酸奶	正面	给小朋友喝的，有活动很划算，会回购	2023-05-14
19111633425	简爱酸奶	正面	和超市买的是一样的，但是便宜很多，喝完下次再买	2023-05-14
19111618348	简爱酸奶	正面	医生交代一天两怀酸奶对胀胃有帮助，喝完继续回购。	2023-05-14
19111607312	简爱酸奶	负面	几次了，日期不新鲜！快递冷藏不行！	2023-05-14
19111599834	简爱酸奶	正面	这个京东生鲜送货非常快，很方便！我没喝过，这味道尝了都很好喝，快递很快，用的是生牛乳原少添加剂，非常安全！一小袋好像喝不够。就是再便宜点就好。	2023-05-14
19111590726	简爱酸奶	正面	味道很好，而且运输也很好	2023-05-14
19111582061	简爱酸奶	正面	味道不错	2023-05-14
19111578817	简爱酸奶	正面	酸奶确实没放糖，挺酸的，也很浓稠，孩子吃放心，下次再尝试水果的，一包可以喝2天，来的时候冰袋一点也没化，日期也比较新鲜！	2023-05-14
19111574086	简爱酸奶	正面	这款酸奶的味道也太好了吧，喝进去简直是入口柔一线喉。搭配早餐来吃是非常好的，加上谷物麦片非常的营养均衡，小孩子吃了也非常的胃口好。京东冷链物流的速度真的非常的快，送来还是冰冰的。感觉非常的棒，还会继续回购，包装盒也非常的精致。	2023-05-14
19111548818	简爱酸奶	正面	很好喝，京东送货上门很方便	2023-05-14
19111553240	简爱酸奶	正面	很好喝，京东送货上门很方便	2023-05-14
19111557378	简爱酸奶	正面	很好喝，京东送货上门很方便	2023-05-14
19111549044	简爱酸奶	正面	物流非常快，第二天就送到了，宝宝一直喝的都是这款无蔗糖的，配料表很干净，宝宝很喜欢喝，物流全程冷冻保存保持酸奶的新鲜度，京东购物，值得信赖。	2023-05-14
19111554253	简爱酸奶	正面	自从喝过简爱之后，其他基本不买了，好喝而且无添加	2023-05-14
19111538990	简爱酸奶	正面	宝宝快两岁了，有时候比较缠大人的饮料零食，所以特意买宝宝酸奶，没有额外添加糖，更健康。我尝了下，确实没有一般酸奶甜，微微有点酸，宝宝很爱喝。	2023-05-14
19111528516	简爱酸奶	正面	非常好，又来回购了	2023-05-14
19111508707	简爱酸奶	正面	买过好多次了，信赖京东的品质	2023-05-14
19111484195	简爱酸奶	正面	零添加，不含糖，可以给宝宝喝	2023-05-14
19111483898	简爱酸奶	正面	六星好评，多一星不怕你骄傲，还在犹豫的朋友赶紧下手，良心推荐，真的很不错，性价比也很高，以后还在这家买。总之：满意！满意！满意！	2023-05-14
19111467311	简爱酸奶	正面	第三次购买这款酸奶了，只有牛乳、发酵菌，没有糖或者代糖，有益身体健康。尽管有些贵，但是每天一瓶基本可以满足补充蛋白质所需。	2023-05-14
19111465442	简爱酸奶	正面	娃一直喝父爱配方，各种口味都尝试过了，我更愿意给他喝0糖的。这款0糖的西梅苹果，比原味的口感更丰富点。这次还送了一盒蓝莓，太棒啦！	2023-05-14
19111460961	简爱酸奶	正面	配料真的干净，适合减肥吃的，强烈推荐大家吃这个，活动时候入的很合算，而且单份量真的适合早餐配三明治.	2023-05-14
19111445048	简爱酸奶	正面	一直都在买简爱酸奶。这个原味酸奶还是第一次买。很好喝，京东物流发货也挺快，转天就到了。还会回购。家里老人，小孩儿都喜欢喝酸奶。	2023-05-14
19111423539	简爱酸奶	负面	味道酸不是很甜，不是风味酸奶。	2023-05-14
19111426153	简爱酸奶	正面	为简爱酸奶打call，家里燕麦太多了，用来做隔夜燕麦。果泥打底，倒入燕麦，再倒入酸奶。放入冰箱冷藏。第二天早上当早餐，太好吃，太美味了。	2023-05-14
19111416735	简爱酸奶	正面	已经收到，快递速度快，产品以前使用过，非常棒！小孩非常喜欢！	2023-05-14
19111409723	简爱酸奶	正面	简爱品质高质量上乘，耐源优质喝奶20多年遇见他，我就再也不会选择其他的酸奶产品我爱喝我全家爱喝每次买每次开心健康快乐的生活需要品质的加持！	2023-05-14
19111396691	简爱酸奶	正面	很好喝，满意	2023-05-14
19111408066	简爱酸奶	正面	好喝，非常满意?	2023-05-14
19111400746	简爱酸奶	正面	这款酸奶健康顶配，强推，回购！	2023-05-14
19111389910	简爱酸奶	正面	好喝好喝，肠道特别的畅快和健康	2023-05-14
19111373492	简爱酸奶	正面	简简单单，爱简简单单喝	2023-05-14
19111370729	简爱酸奶	正面	我是简爱忠实购买者指认简爱	2023-05-14
19111365726	简爱酸奶	正面	产品如其名真的是身体之道	2023-05-14
19111368040	简爱酸奶	正面	这个酸奶吃起来非常的好吃，没有太多的甜味，爸爸妈妈也爱吃，已经回购了很多回，建议大家都来买，奶味很浓。	2023-05-14
19111374048	简爱酸奶	正面	酸奶很好吃，没有加糖。刚刚开始吃，有点不习惯。但是在习惯了之后呢就觉得比较香浓。宝宝也很喜欢吃。一下子就吃完了。可以尝试继续购买。	2023-05-14
19111366290	简爱酸奶	正面	味道好极了，经常买这款，很好喝。	2023-05-14
19111374440	简爱酸奶	正面	经常购买，宝宝喜欢吃。	2023-05-14
19111372191	简爱酸奶	正面	一直在购买 以后只和这一家	2023-05-14
19111364844	简爱酸奶	正面	宝宝喜欢，经常购买。	2023-05-14
19111365268	简爱酸奶	正面	宝宝喜欢，经常购买。	2023-05-14
19111356249	简爱酸奶	正面	宝宝喜欢吃，经常购买	2023-05-14
19111340169	简爱酸奶	正面	一直一直一直喝简爱酸奶，现在都不喜欢有糖的了。酸奶里加上坚果，是饱腹控热减重的最佳选择。赶上活动，超优惠的价格买了四盒，感觉像赚了一个亿。哈哈?	2023-05-14
19111345854	简爱酸奶	正面	宝宝从开始喝酸奶起，就一直是喝的这一款，配件干净，给宝宝喝很放心！这次活动力度也非常大，比超市要便宜很多！	2023-05-14
19111329988	简爱酸奶	正面	新产品不负众望！以前在法国吃过。	2023-05-14
19111305191	简爱酸奶	正面	超级好！控糖人士必备！	2023-05-14
19111259439	简爱酸奶	正面	好	2023-05-14
19111266063	简爱酸奶	正面	营养价值好，无糖，多买比较划算。	2023-05-14
19111263382	简爱酸奶	正面	经常买，无糖酸奶，多买比较优惠。	2023-05-14
19111243419	简爱酸奶	正面	简爱的父爱配方酸奶很适合小朋友吃，一次一袋刚刚好，配料简单小朋友吃比较放心?！出门带一袋方便卫生，很喜欢?，以后还会继续光顾	2023-05-14
19111234293	简爱酸奶	正面	简爱的无糖酸奶，大人小孩子都喜欢吃，口感好，好吃，买了好几次了！每天早上一杯酸奶再加点水果，一个鸡蛋，半根玉米，吃完很满足！以后还会继续光顾！	2023-05-14
19111222598	简爱酸奶	正面	还不错的，大家可以买的	2023-05-14
19111207207	简爱酸奶	正面	酸奶很好喝，看排行榜买的，一家人都喜欢	2023-05-14
19111202248	简爱酸奶	正面	买了两盒，共计12袋，生产日期23年5月6日，今天5月14日收到货就立马开吃。正好吃到26日过期，你们可真会掐着日子呢，	2023-05-14
19111201312	简爱酸奶	正面	我家宝宝超爱喝的????	2023-05-14
19111182866	简爱酸奶	正面	酸奶还不错的，一大瓶很快就喝完了。	2023-05-14
19111151807	简爱酸奶	正面	"这款酸奶很好喝，也是数不清第几次购买了。
真的非常不错。 
无糖。 零蔗糖。 
无添加。 
真的很好。 
非常好y还会反复购买的。 
推荐购买。"	2023-05-14
19111141053	简爱酸奶	正面	很好喝，全家人的最爱！大人小孩每天一杯	2023-05-14
19111136972	简爱酸奶	正面	物流很快，酸奶非常新鲜，味道很好。	2023-05-14
19111128238	简爱酸奶	正面	"赞赞赞！
物流很好。 
酸奶也是一如既往的包装好送货快！
非常值得信赖的京东物流！！！！
怒赞。 
很好。 
推荐反复购买！"	2023-05-14
19111120480	简爱酸奶	正面	"京东自营，绝对的值得信赖！！！
非常好?棒棒棒?
已经数不清第几次给家里小孩买这款酸奶可。
小孩特别爱吃，而且两种口味都喜欢。
赞！"	2023-05-14
19111112999	简爱酸奶	正面	宝贝收到了，和图片一模一样的，很不错，非常优惠！东西非常的赞！棒棒哒！比外面店卖的平宜，非常喜欢，大爱！下次有需要还会继续下单！客服服务态度也很好，当然店主的东西也很好，要不然就不会下单啦	2023-05-14
19111103758	简爱酸奶	正面	滑滑酸奶非常好喝，回购很多次了	2023-05-14
19111106593	简爱酸奶	正面	买了很多次了 宝宝很爱喝	2023-05-14
19111098396	简爱酸奶	正面	简爱的葡里萄气裸酸奶，味道好极了。薄薄的质地，清爽的配方，喝起来比较放心。京东自营的产品，物流很快，包装完好，总体来说很不错！	2023-05-14
19111094321	简爱酸奶	正面	简爱的葡里萄气裸酸奶，味道好极了。薄薄的质地，清爽的配方，喝起来比较放心。京东自营的产品，物流很快，包装完好，总体来说很不错！	2023-05-14
19111102038	简爱酸奶	正面	孩子喝，放心安心，质量好	2023-05-14
19111093012	简爱酸奶	正面	京东自营一次很好的购物体验，服务周到，物流快速，配送也很周到，快递小哥态度也很好，物有所值啊，小朋友很喜欢吃，果断好评！	2023-05-14
19111078920	简爱酸奶	正面	大部分妈**选择，很不错的，希望多搞活动	2023-05-14
19111087728	简爱酸奶	正面	再次回购了???	2023-05-14
19111088234	简爱酸奶	正面	下单以后，说是国际订货，过一会儿订单上显示&ldquo;暂停&rdquo;字样。后来经过京东客服人员认真协调，现在已经收到我要的一般国产&ldquo;简爱酸奶&rdquo;了。谢谢客服，谢谢商家。你们维护了消费者的权益和企业的信誉，赞?！	2023-05-14
19111075248	简爱酸奶	正面	小孩子很喜欢喝这个酸奶，不是很甜	2023-05-14
19111062941	简爱酸奶	正面	很便宜，很满意	2023-05-14
19111052252	简爱酸奶	正面	味道不错 有一股特别的香味 大人孩子都喜欢	2023-05-14
19111053374	简爱酸奶	正面	父爱配方，除了贵，没别的毛病。零添加确实很赞，口感也没那么酸，孩子一直很喜欢喝，碰上搞活动的时候还是挺划算的，而且糖分也分级。	2023-05-14
19111020952	简爱酸奶	正面	快捷方便。价格便宜。	2023-05-14
19111010503	简爱酸奶	正面	孩子很喜欢 一直都喝父爱配方	2023-05-14
19110982962	简爱酸奶	正面	宝宝的第一口酸奶就选父爱配方呀～配料干净，不含蔗糖，生牛乳和益生菌，宝宝好吸收～无抗生素认证的牛奶，宝宝喝着妈妈更放心呀～	2023-05-14
19110950647	简爱酸奶	正面	不错好喝！快递很快！包装严实！	2023-05-14
19110949380	简爱酸奶	正面	一直用的品牌全家的最爱。健康	2023-05-14
19110954346	简爱酸奶	正面	信得过的品牌，全家的最爱全家人都喜欢。	2023-05-14
19110943079	简爱酸奶	正面	一多次回购的产品，很好喝	2023-05-14
19110934316	简爱酸奶	正面	孩子挺喜欢的，就是日期不太新鲜	2023-05-14
19110926067	简爱酸奶	正面	最喜欢的酸奶，配料干净，味道又很好，奶味超级浓郁。减脂期喝也很好！	2023-05-14
19110922197	简爱酸奶	正面	日期不太新鲜了，不过快递很快，早晨下单下午就到了	2023-05-14
19110914587	简爱酸奶	负面	日期不太新鲜，不过快递很快，早晨下单，下午就到了	2023-05-14
19110910894	简爱酸奶	正面	日期比较好，今年价格比去年略贵	2023-05-14
19110888321	简爱酸奶	正面	太好喝了，怎么能这么好喝	2023-05-14
19110875104	简爱酸奶	正面	快递很快很快，本来这个价格买酸奶已经比实体店便宜很多很多了，结果还送了怡颗莓的蓝莓！！！！蓝莓真的像是不要钱一样。脆甜多滋。非常满意	2023-05-14
19110844452	简爱酸奶	正面	孩子从一岁就开始喝的酸奶，她喜欢妈妈也放心	2023-05-14
19110826188	简爱酸奶	正面	味道不错 就是瓶大点 要是有小瓶就好了	2023-05-14
19110800664	简爱酸奶	正面	0添加，配料表干净，口感丝滑，回购多次的酸奶。	2023-05-14
19110794748	简爱酸奶	正面	小孩子很喜欢喝，无糖喝得更放心	2023-05-14
19110782649	简爱酸奶	正面	不错不错不错，很喜欢喝不错，就是不错。	2023-05-14
19110791142	简爱酸奶	正面	宝宝超级爱喝，配料表很干净。	2023-05-14
19110768159	简爱酸奶	正面	酸奶吃了一段时间还是不错的	2023-05-14
19110762538	简爱酸奶	正面	买了6小盒，坏了两盒，不过也很快就赔付了	2023-05-14
19110762357	简爱酸奶	正面	"又一次愉快地购物，冷链包装很好，快递员电话联系后，送货上门，又快又好??
0%蔗糖、原味酸奶，还是知名&ldquo;简爱&rdquo;品牌的食品?"	2023-05-14
19110726786	简爱酸奶	正面	快递很快，送货上门，我一定会介绍给小伙伴的！经济实惠，物美价廉，质量非常好，非常满意，完全超出期望值，超级划算，性价比高，购物比实体店便宜多了	2023-05-14
19110723157	简爱酸奶	正面	京东物流一如往常一样的快速，次日达第二天就可以送货上门了。购买的卡氏的断糖日记酸奶，确实没有糖，味道发酸有营养但是有些小贵。	2023-05-14
19110681518	简爱酸奶	正面	不错，适合给孩子喝。	2023-05-14
19110689810	简爱酸奶	正面	酸奶太好喝了，全家人都喜欢，希望以后能更加优惠，以后还会回购。	2023-05-14
19110671051	简爱酸奶	正面	酸奶，我只喜欢配料干净	2023-05-14
19110676552	简爱酸奶	正面	还可以吧，没有糖，吃上去有点偏酸	2023-05-14
19110673372	简爱酸奶	正面	已经***次了，宝宝一直喝的这款酸奶，没有蔗糖，喝着放心，	2023-05-14
19110670203	简爱酸奶	正面	家里的宝宝一直在吃简爱的酸奶，已经买过很多回了里面无糖的配方，他们还挺能够适应的，只不过我们吃起来会觉得有一点酸。里面高钙，感觉应该不错	2023-05-14
19110655391	简爱酸奶	正面	初次尝试，希望和其他一样好	2023-05-14
19110658079	简爱酸奶	正面	活动价买超级划算，好喝健康	2023-05-14
19110664635	简爱酸奶	正面	味道不错 不甜 奶味很重	2023-05-14
19110655017	简爱酸奶	正面	买来给孩子喝的，赶上活动买便宜	2023-05-14
19110615276	简爱酸奶	正面	含糖比例可选，非常适合宝宝喝。	2023-05-14
19110617267	简爱酸奶	正面	货收到后就拆开用了，质量很好，东西和官网买的没区别！货收到后就拆开用了，质量很好，东西和官网买的没区别！货收到后就拆开用了，质量很好，东西和官网买的没区别！	2023-05-14
19110607898	简爱酸奶	正面	每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！	2023-05-14
19110597239	简爱酸奶	正面	酸奶很好很喜欢，很不错	2023-05-14
19110595291	简爱酸奶	正面	无糖酸奶，家人都喜欢。	2023-05-14
19110570308	简爱酸奶	负面	很垃圾，送来的时候没有任何冷鲜包装，套个袋子就送来了，然**口就发现变质了，客服这边不承认，我说寄回去给他尝一下，也不肯，现在就是没有任何人能解决我的售后，客服拒绝处理，消息已读不回复，心累	2023-05-14
19110571160	简爱酸奶	正面	弟弟需要多久我觉得很彻底诶好的	2023-05-14
19110556909	简爱酸奶	正面	包装挺好的，冷藏运输，就是每袋克重偏大，小孩子一顿吃不完。	2023-05-14
19110537367	简爱酸奶	正面	我儿子每天都要喝的酸奶  这次送了两盒蓝莓	2023-05-14
19110536589	简爱酸奶	正面	味道好喝呀！京东物流就是Number one.	2023-05-14
19110532224	简爱酸奶	正面	党建经费快过年放假轧空功能就赶快个	2023-05-14
19110535968	简爱酸奶	正面	宝宝特别喜欢喝，每次喝完都要再要。	2023-05-14
19110523107	简爱酸奶	正面	京东自营的物流超级快。宝贝非常满意。好评了	2023-05-14
19110491116	简爱酸奶	正面	宝宝一直喝的这款酸奶，零糖的，味道不错，没有什么添加剂，每次买的日期也可以，总体来说还不错的东西，比较满意的一次购物体验，有活动的话会一直回购。	2023-05-14
19110477542	简爱酸奶	正面	挺好喝的。买了三大瓶子牙哈哈哈哈两种口味的夏天到了喝点挺好的还会回购的牙。。。。。。。。。。。。。。。。。。。。。。。。。。。	2023-05-14
19110481110	简爱酸奶	正面	挺好喝的。买了三大瓶子牙哈哈哈哈两种口味的夏天到了喝点挺好的还会回购的牙。。。。。。。。。。。。。。。。。。。。。。。。。。。	2023-05-14
19110469715	简爱酸奶	正面	简爱酸奶很好喝，放心，信得过的品牌。	2023-05-14
19110474351	简爱酸奶	正面	支持京东，物流超快，质量一流	2023-05-14
19110467266	简爱酸奶	正面	京东购买送货上门便宜且快捷！	2023-05-14
19110456098	简爱酸奶	正面	京东购买送货上门便宜且快捷！	2023-05-14
19110446172	简爱酸奶	正面	值得信赖的产品，无糖配方适合减肥	2023-05-14
19110417878	简爱酸奶	正面	香蕉滑滑小朋友喜欢喝，特别是夏季到来，口味顺滑细腻可口无比美味	2023-05-14
19110397689	简爱酸奶	正面	"这款酸奶不是很稠的那种，比较清爽，家里小朋友也很喜欢喝。
价格不算最优惠，主要有运费券，就还好"	2023-05-14
19110400976	简爱酸奶	正面	日期挺新的 买了好几次了  送货也很快	2023-05-14
19110397523	简爱酸奶	正面	物流速度很快   酸奶味道很好  已推荐朋友购买	2023-05-14
19110382434	简爱酸奶	正面	儿子超级爱喝一天至少喝俩杯，比超市便宜	2023-05-14
19110376239	简爱酸奶	正面	吃了好久想起来忘评价了，好好吃，糯糯香香的	2023-05-14
19110380931	简爱酸奶	正面	只喝简爱酸奶，也是简爱酸奶的常客了，京东快递送货迅速，买的放心！	2023-05-14
19110378649	简爱酸奶	正面	只喝简爱酸奶，也是简爱酸奶的常客了，京东快递送货迅速，买的放心！	2023-05-14
19110358361	简爱酸奶	正面	宝宝开始吃辅食以来就一直吃的是这款酸奶。营养价值很高，宝宝也很爱吃，基本上每天都要吃两袋，吸收很好消化很好，会一直继续回购的。	2023-05-14
19110359319	简爱酸奶	正面	酸奶挺不错的 推荐购买	2023-05-14
19110356462	简爱酸奶	正面	价格合适 比便利店便宜 非常好吃	2023-05-14
19110342683	简爱酸奶	正面	朋友推荐采购的，配料表简单，添加剂少，口味，粘稠度，保质期等符合个人要求，糖有点高，蛋的含量不低，还不错，等买给老人试试	2023-05-14
19110325867	简爱酸奶	正面	"从10个月就给宝宝喝父爱，期间也喝过别的酸奶，孩子不咋喜欢，就一直喝这个，我觉得比原味好喝一点，孩子也是喜欢这个。
日期也挺新的"	2023-05-14
19110330769	简爱酸奶	正面	第n回购买了，家里老人有糖尿病，一直买简爱的裸酸奶，配料表十分干净，没有科技与狠活，喜欢	2023-05-14
19110299118	简爱酸奶	正面	我闺儿一直喝的酸奶 超级稀罕喝 日前也很不错	2023-05-14
19110285165	简爱酸奶	正面	酸奶很健康，宝宝很喜欢喝，一次喝一包～	2023-05-14
19110257704	简爱酸奶	正面	宝宝每天一袋，营养又健康街。	2023-05-14
19110259161	简爱酸奶	正面	这个酸奶含的友谊细菌种类比较多，对消化系统有帮助。	2023-05-14
19110229986	简爱酸奶	正面	1.一直都在喝这款父爱2.主打的无添加，喝起来比较放心3.都在喝，一天一袋好喝不腻4.希望保持成分5.希望成分喝起来干净卫生。会回购很不错	2023-05-14
19110230538	简爱酸奶	负面	日期太差了 超市日期还新鲜点	2023-05-14
19110176740	简爱酸奶	正面	味道好，配料表简单，孩子非常喜欢吃，下次再来	2023-05-14
19110182815	简爱酸奶	正面	配料表干净放心大胆吃	2023-05-14
19110180051	简爱酸奶	正面	喝着口感觉得还不错！	2023-05-14
19110149379	简爱酸奶	正面	很好喝的酸奶，宝宝非常喜欢这个品牌的酸奶。家人也很喜欢，以后会常购买！物流的速度一如既往的给力！快递小哥也很热情！	2023-05-14
19110154003	简爱酸奶	正面	很满意	2023-05-14
19110147794	简爱酸奶	正面	这个酸奶很好喝 无添加 喝着放心 很喜欢	2023-05-14
19110139416	简爱酸奶	正面	多次购买，值得信赖，口味不错???	2023-05-14
19110129082	简爱酸奶	正面	商品好，物流快，快递小哥帅	2023-05-14
19110115597	简爱酸奶	正面	好纯的酸奶 吃了这个就不喜欢吃其他的了	2023-05-14
19110096711	简爱酸奶	正面	不含糖，一直很喜欢喝，无限次回购了已经	2023-05-14
19110087101	简爱酸奶	正面	因为有糖尿病，这款酸奶最适合。味道好，满意！	2023-05-14
19110079687	简爱酸奶	正面	多次回购这款酸奶了，给小宝宝吃的。酸味一般，口感比较淡，宝宝喜欢吃就，总体还不错。小盒子装的刚好一次吃完。物流速度快，第二天就到货了。	2023-05-14
19110076532	简爱酸奶	正面	早就已经喝完了，味道好，只要有活动就会入手！	2023-05-14
19110075467	简爱酸奶	正面	味道好，宝宝很喜欢喝这款	2023-05-14
19110065620	简爱酸奶	正面	口味跟超市一样。价格实惠	2023-05-14
19110073872	简爱酸奶	正面	一直在买，很喜欢。。	2023-05-14
19110064464	简爱酸奶	正面	买了两份，一份草莓味的，一份蓝莓味的，还可以送怡颗莓的蓝莓，很优惠，怡颗莓的蓝莓买过几次。很好吃，这次趁着赠品有货赶紧下了两单，酸奶也很好，满意，推荐购买	2023-05-14
19110054451	简爱酸奶	正面	买了两份，一份草莓味的，一份蓝莓味的，还可以送怡颗莓的蓝莓，很优惠，怡颗莓的蓝莓买过几次。很好吃，这次趁着赠品有货赶紧下了两单，酸奶也很好	2023-05-14
19110049030	简爱酸奶	正面	多次购买的酸奶，口感好，更重要的是富含益生菌，对肠道建立健康的环境很重要，有利于便秘等症状缓解，帮助消化吸收，还能帮助减肥。	2023-05-14
19110057319	简爱酸奶	正面	简爱的酸奶宝宝一直很喜欢，甜度适中，不错不错	2023-05-14
19110040716	简爱酸奶	正面	多次购买了，挺好的，用来控糖吃的	2023-05-14
19110039907	简爱酸奶	正面	简爱零添加，喝起来放心	2023-05-14
