序号	门店名称	评论内容	评论日期
38	Seesaw Coffee(上海九亭金地广场店)	服务态度很好～ 环境很一般～山茶茉莉轻乳茶实话挺不好喝的～口感不太好～ 个人不太喜欢～这家还是咖啡好喝点	2023-04-20
39	Seesaw Coffee(上海环球金融中心店)	老样子，感觉没啥新意了。。。	2023-04-19
40	Seesaw Coffee(前海印里店)	"想要吐槽柠檬气泡水，28元的柠檬气泡水，喝起来就是柠檬味雪碧加冰的口感，而且加的还是柠檬干，真的无法理解。（想象中的28元是纯气泡水加鲜柠檬汁加鲜柠檬片）
朋友点的茉莉dirty，感觉口味乖乖的，茉莉和dirty这个搭配不是特别搭。
感觉总体饮料都是过于甜的奇怪口感。"	2023-04-19
41	Seesaw Coffee(成都新希望D10店)	"Seesaw在上海的时候经常喝…
开过来成都后 倒是第一次点外卖[emoji]
结果就…

我下的是冰拿铁 竟然给我做成冰美式…
后台沟通 未回复 致电过去 接通后等了10s才说话…
然后！！！D10店负责人在吗？
门店内有一个冰拿铁能做成冰美式的员工
以及一位平台处理应变能力0分的员工…
半小时了 还是已读不回…后面退款成功了


后续——负责人态度良好的致电沟通解决了这个小插曲[强][强]"	2023-04-19
42	Seesaw Coffee(世博源店)	"服务是真的差！
工作日过来点杯咖啡，点单的服务员低这个头，也不问我热的还是冰的，甜度，还是我主动说。
说完了他头也不回直接走了，一句话都没和我说！
咖啡做完了也不送过来也不叫，就在那放着？
这是什么服务态度，真的太恶心了！"	2023-04-19
43	Seesaw Coffee(世博源店)	世博源新开的店，铺面不小，目前空调还未调试好，有点热，服务员不够，只要两个人，忙着做外卖单，很多货品还未到全，顾外卖就顾不上点单，和收营面对面站在柜机前，等半天没反应，忙着手机接单，就把你晾在哪，问其什么情况，闷声不想，体验不大好。	2023-04-19
44	Seesaw Coffee(上海嘉定中信泰富万达广场店)	今天的服务员不太熟练啊	2023-04-17
45	Seesaw Coffee(杭州湖滨步行街店)	特意说了“全冰美式”……没想到还是满满一杯水…..咖啡寡淡，收费优惠后还要21（招行掌上生活有30-20元券），这都不如manner一杯5元的咖啡（浓缩10元一份，冰块不要钱，自带杯再减5元），下次看到seesaw绕道，不如全家。	2023-04-17
46	Seesaw Coffee(上海金桥国际店)	门店小，座位少	2023-04-16
47	Seesaw Coffee(苏州中心店)	之前每次来都觉得有些店员只是制作咖啡饮品的操作员，没有一点服务可言，更称不上为咖啡师。最近感觉服务态度好些了，但是为什么出杯的人不戴口罩啊？就也不是负责点单的人不戴口罩还能理解，况且其他人也都戴着呢。你边萃取打奶边讲话，我点的也不是唾沫星子拿铁啊。餐饮行业应该还是要注意一下的吧？喜欢red lipstick可以到隔壁sephora上班。	2023-04-16
48	Seesaw Coffee(上海万象城店)	"点单服务小姐姐态度值得提升。体验感很差。
很少给差评。
在人手不够的情况下，外卖单、到店点，团购核券都是客户。"	2023-04-16
49	Seesaw Coffee(上海康桥新田360店)	"中规中矩吧，比较一般，豆子也比较一般，烘焙不够，挺酸的。
环境也一般，板凳很硬，空间很小，不算是一个商铺，算是商场里的路边摊吧。
总的来说，下次来这边个人不会考虑这家，也不是很推荐"	2023-04-16
50	Seesaw Coffee(上海七宝万科店)	"周末路过点个咖啡喝喝，天气太热，也想休息一下
点的时候说了少冰，然后拿回来的时候全是冰块，这点真的是不如MSTAND做得好。人家MSTAND无论是去冰还是少冰，并不会影响咖啡的容量。
这家店人倒是不少，店里的座位都坐满了"	2023-04-16
51	Seesaw Coffee(石景山六工汇店)	花臂店员态度极差，跟欠他们钱似的。	2023-04-16
52	Seesaw Coffee(北京枫蓝国际购物中心店)	咖啡口味可以，就是服务态度老差了，长期拉着个脸。我拿招行信用卡买单，说没时间操作，让我小程序下单或让我逛一会再回去，我逛了一圈回来，结果还不搭理我，要拿信用卡买单，继续等……	2023-04-16
53	Seesaw Coffee(北京西红门荟聚店)	地方不大，个人觉得桌子有些矮，元气美式甜味有些重	2023-04-16
54	Seesaw Coffee(杭州天目里店)	"[薄荷]环境:网红街区，店铺面积很大，能坐的位置很少
[服务铃]服务:也没啥服务，头一次见蛋糕堂食用这么破的一次性叉子，都不如奈雪喜茶
「栀子花梨香拿铁」和「繁星桂花燕麦拿铁」性价比低，倒不是难喝，就是味道配不上这个价格
「SEE拉米SAW」和「南瓜三重奏挞」买了套餐依然觉得不值这个价格，难吃，味道甚至不如普通蛋糕店，没二刷冲动"	2023-04-15
55	Seesaw Coffee(苏州中心店)	"束手束脚的日子过去了。我们的逛吃逛吃小火车终于开出无锡了[加油][加油][加油]
天气原因，没能俯瞰秋裤楼。最后一站就留给seesaw。见面不如闻名说的大概就是这，咖啡真的是淡而无味，室内人还很多，又闷又热。失败的拔草，完全无性价比可言。"	2023-04-15
56	Seesaw Coffee(北京通州万达店)	认真的不知道是得罪你家还是咋地，[发呆]次次外面咖啡没有吸管也就算了，看着这个「橙香柚子慕斯蛋糕」蛋糕颜值还行，就买来尝尝，也不给个勺子。[傲慢][傲慢]手抓吗？主要是口感也不好吃，还死贵，不细腻很粗糙[困][困]强烈不推荐！	2023-04-15
57	Seesaw Coffee(上海思南公馆店)	山茶花dirty花味没有很浓郁，咖啡也不够醇香，有点普通吧。燕麦拿铁也是普通发挥，店面比较隐蔽，没什么人这点不错	2023-04-15
58	Seesaw Coffee(上海七宝万科店)	「栀子花梨香拿铁」说实话真的不好喝。	2023-04-14
59	Seesaw Coffee(北京枫蓝国际购物中心店)	不能干就别干了。。一杯热美式，没盖盖子，也没给杯托，忙不是我的错，但这样应付还是倒闭吧。最后一次购买。	2023-04-13
60	Seesaw Coffee(上海K11购物艺术中心B1店)	手机下单早餐后，明明没单子，两个服务员动作巨慢，多次催促赶时间，还是不紧不慢，一个个加热别人的点心也不打包，态度还很不好，服务差评。	2023-04-13
61	Seesaw Coffee(杭州西溪银泰店)	"「栀子花梨香拿铁」
新品时候就点了，真的很一般啊！
小程序下单，送货挺快，到手还是温热的，入口甜腻，味道有些怪，胃不好的，建议少喝，因为喝完就胃疼了一下午，单价38元的中杯，堪比星巴克，但是味道却差强人意。"	2023-04-12
62	Seesaw Coffee(苏州中心店)	提拉米苏还要等解冻才能卖？那为什么放在橱窗里？	2023-04-12
63	Seesaw Coffee(武汉万象城店)	"[薄荷]环境：
环境还是可以的，没什么人，也很安静。

[服务铃]服务：
从来没有见过出品这么慢的咖啡，首先不能怪当班服务生，因为店里只有一个店员，来的时候是中午十二点左右，干脆没店员，等了好几分钟才来，可能上洗手间去了，一个人一边点单一边接电话一边做饮品，手忙脚乱一团糟，做错了单，不停的有顾客来催单，出品也不太行。只想说开咖啡厅舍不得掏钱请员工就不要开了…..哪个咖啡厅不是好多个服务生在忙活啊，怎么可能一个员工？
「冰拿铁」
价格也不算低，对标星巴克mstand，点的燕麦拿铁，之前在武广喝过一次还可以，这次出品不行。
不会再来的一家店。"	2023-04-12
64	Seesaw Coffee(上海BHC中环中心店)	茉莉拿铁里面的茉莉花泡的一坨一坨的[吐]	2023-04-12
65	Seesaw Coffee(成都新希望D10店)	"[薄荷]环境:
地理位置好，装修风格也将就，但是为什么没有一个躺椅或者矮一些可以扯撑了趟的椅子。非要做的那么板正么，我以为我在学校食堂。

[服务铃]服务:
自主下单，东西好了也不会喊取餐，就是自己等久了发现没对，看看手机，可以取餐了。这样的话不必要要服务员了吧。
味道：很一般，很一般，碱水面包里面放比较甜的红豆 第一次吃，咸咸甜甜的味道怪怪。"	2023-04-11
66	Seesaw Coffee(北京东方广场店)	特别糟糕的体验！！！我进门之后先问的有没有wifi，因为我需要办公，告诉我说有，结果点单之后死活上不了网...电脑充电插口也没有...我求助店员，结果告诉我说可以连热点....无语...咖啡也特别一般，不推荐！！！真的是超级无语！！！	2023-04-11
67	Seesaw Coffee(上海百联世纪店)	"腔调这种气质 95%的人没有 90%的人欣赏不来 
服务是附属品 特性不唯一 热烈的 视而不见 冷气质 反而成为被diss的点  难伺候的嘞

如果单看咖啡 大概率我不会选择seesaw
没什么特色 奶泡丰富 油脂不丰富 味道淡 没有咖啡的香气 
季节限定也都是跟风随大流  比如山茶花 栀子花 飘着那么多花朵 边喝边往外吐花骨朵  你想象一下那场景 得多下头

还有标杯的造型 丑就算了 细细长长的  可以矮胖子 不可以细长条 没有手感 

可我仍旧每天早上提前10分钟出门去店里点啊 那个叫丫丫的小姐姐 好有腔调啊 气质冷冷的 回答简单 一语到位 不多一言  好大个店 纯纯的贩卖空间 小姐姐一个人下单 做咖啡 打包 全程保持一张模特脸 你不知道有多吸引人  跟这个冷清的店多登对啊 贩卖的都是工业风冷空间 配冷傲脸可不就是刚刚好   还有很多时候 我时间来不及 就电话过去 先帮我做2杯 一会去取  小姐姐很爽快的就做了！

所以评论区里是在要什么服务啊 假笑吗 上班那么多假面具还没看够吗 每个人都该有自己独特的风格和魅力 日常一边伪装起自己 一边羡慕别人自我  现在又要拿别人的特立独行说教 双标是这样玩的嘛 咖啡"	2023-04-11
68	Seesaw Coffee(杭州滨江宝龙店)	宝龙的咖啡是真卷，这家环境还可以，口感是真一般	2023-04-10
69	Seesaw Coffee(南京国金中心店)	点了杯柠檬气泡水，齁甜，报喝，练雪碧都不如.服务是好的～	2023-04-09
70	Seesaw Coffee(上海万象城店)	不知道是这家分店做得难喝还是新品本来就难喝，之前在别的门店点的其他咖啡都做得很好喝，而万象城的新品栀子花梨和山茶花拿铁都做得淡如水，奶味和咖啡味都很淡不浓郁，栀子花和山茶花味也很淡根本喝不出来，冰块巨多，本来就已经很淡了冰块再一化更淡，喝了2口就扔了，就真的不好喝，2杯做的都很失败	2023-04-09
71	Seesaw Coffee(南京国金中心店)	应该是国金4楼咖啡三巨头里第一家开的，位置很不显眼，在一个角落，第一次去时找了半天。不知道是不是对国金的人气还没什么把握，这家店做成了外卖店形式，没有堂食区。连着喝了两次，口味都很淡，我甚至怀疑是不是杯量太大的缘故，下次应该点小杯。完全没法办法感受他家产品卖点，后面应该不会再点了。	2023-04-09
72	Seesaw Coffee(深圳壹方城店)	不把客户需求当回事啊这是 去冰还一堆冰块:)	2023-04-09
73	Seesaw Coffee(浦东嘉里城店)	等待时间太长了，而且很混乱，号码跳着来，感觉是先做外卖还有小程序点单的，平台团购的最后才做。外卖的骑手轰在一起，挤在一堆，显得乱哄哄的。口味是还可以，就是环境和点单系统需要提高。	2023-04-09
74	Seesaw Coffee(北京双井富力广场店)	"我之前很喜欢seesaw的，朝阳大悦城那家店去的次数比较多，环境调性都不错，富力城这家店是第一次来，位置倒是很好找，不过等了半天服务员没出来，后来喊了几嗓子才姗姗来迟～
其次就是第一次点抹茶拿铁，是真难喝，抹茶粉都没和匀，奶里好多抹茶粉块，而且抹茶粉品质也不咋地，反正是真的难喝！！！"	2023-04-08
75	Seesaw Coffee(上海缤谷广场店)	空调太冷了，不知道为什么冷风开这么大，冻死	2023-04-08
76	Seesaw Coffee(武汉万象城店)	周末的早上，店里几乎没有顾客，可能服务员小哥哥昨天彻夜不眠吧，那个服务简直感觉我欠了他1个亿一样，说话有气无力，办事无精打采，如果不是已经付款，我简直不想要了，现在咖啡厅遍地，买的不是文化和服务，还能是什么呢，这里消费感觉还不如瑞幸咖啡，价格却是好几倍，应该不会再来了，确实很失望。	2023-04-08
77	Seesaw Coffee(上海前滩中心店)	咖啡好喝的。不过两个店员真是无语中，做好咖啡不说，去拿咖啡时候问是不是这个，没有一个人搭理你，要么装作没看见你，要么低头扒拉手机。难怪这个店没有人。	2023-04-08
78	Seesaw Coffee(苏州中心店)	喝了杯dirty 纯粹的难喝 结果喝完就拉肚子 拉到差点肠胃炎…本人并不乳糖不耐。大概率牛奶馊了[擦汗][擦汗][擦汗]	2023-04-08
79	Seesaw Coffee(上海吴界277店)	我就想问问，这叫一杯是吗？饿了么点了一杯澳白，拿着就感觉很轻，打开封纸一看就这么点…你咋不做成浓缩呢…一杯咖啡少了快1/3了，满减就是连量都减少了吗？发给朋友看，才告诉我他们家咖啡一直偷工减料，这边的一塌糊涂，原来对seesaw的印象蛮好的，现在一塌糊涂	2023-04-08
80	Seesaw Coffee(杭州天目里店)	"坦白说，味道一般般。

我买过N次SeeSaw的咖啡豆和挂耳咖啡，却从未去过它的实体店，因为我所在的城市没有，所在省份的一线城市也很少，位置也不是在很中心的地方，所以四舍五入也相当于没有。这次来天目里，发现有它的实体店，就想现场尝一下。

坦白说，味道不怎么样。这款拿铁太甜。点的百香果千层，可丽饼皮不够滑，虽然整个蛋糕在被叉开的过程中不会塌掉，但口感偏干和“渣”，还有很大的改进空间。

我是从广东过来旅游的。在广东，任何一间食肆，吃完的餐食餐碟会很快被收走，桌子也会迅速被擦干净。今年以来我去了江苏，这次来杭州，我发现都存在很长时间没人收拾桌子的现象。此外，尤其对于咖啡、甜品店，还容易有食物掉渣（酥皮类）和黏腻（糖浆、奶油等）附着在桌面的现象。因此，建议还是要及时把已经就餐完毕离开的客人方才坐过的桌面收拾干净。"	2023-04-08
81	Seesaw Coffee(杭州西溪银泰店)	不是特别惊艳 因为我喝纯黑咖啡较多 对品质上比较注重 但不难喝 牛奶应该还可以	2023-04-08
82	Seesaw Coffee(上海凯龙金领大厦店)	"我要写个差评，这个繁星桂花真的是太难喝了[撇嘴]
太难得的难喝，给大家避雷
服务和环境还不错～
「繁星桂花拿铁」"	2023-04-07
83	Seesaw Coffee(深圳海岸城店)	「栀子花梨香拿铁」「繁星桂花拿铁」点了两杯花类咖啡，怎么说呢？真的是一言难尽。首先咖啡上面飘着很多小小的花枝花瓣，摆拍拍照是挺好看的。但是！咖啡是要喝的呀！喝的时候老是想避开这些花枝小花，喝得一点都不痛快[流泪] 要是喝下去的话，它又小又粘，反正就是难受。作为外带咖啡来说，真的不如普普通通一杯咖啡，打扰了	2023-04-07
84	Seesaw Coffee(上海企业天地店)	"环境在写字楼中，所以早上还是比较安静的

味道对我个人而言就比较一般了

楼里有太多的选择

竞争力差一些

服务一言难尽吧

很多人都在等

三个人做出了半个人的效率

加油吧"	2023-04-07
85	Seesaw Coffee(北京东方广场店)	"[emoji]东方新天地一层 靠东边的位置（隔壁是卖车的）

[薄荷]环境：店面整洁 就是不大 店里2-3张桌子？大概
[服务铃]服务：服务真是不怎么样 去两次都是 女店员也不知道欠她钱还是怎么着 爱答不理的 问什么都是小程序下单就行 爱答不理的那个样子 拍店内照片就那样紧盯着你 真是无语了…唯一一家seesaw服务这么差的店！！！东方新天地这么多咖啡店 估计以后来这边也不会选这个店[开心][开心]

「Seesaw拿铁」点了两杯拿铁[咖啡] 连锁店的品质 [咖啡]味道中规中矩吧…[微笑][微笑][微笑]"	2023-04-06
86	Seesaw Coffee(杭州天目里店)	在天目里的一家网红店，朋友说经常点下午茶，觉得还不错，特别是桂花拿铁。额……怎么说呢，我觉得一般吧，价格倒是和星巴克一样，味道也和星巴克一样，不太好喝，咖啡豆品质和烘培都不太好，香味和纯度都难以用语言形容。	2023-04-06
87	Seesaw Coffee(石景山六工汇店)	"卫生比较差，桌子上堆满垃圾没人收拾，好不容易请了店员来收垃圾，只把垃圾拿走，不擦桌子，椅子上也有食物残渣脏的不行
栀子花拿铁 巨甜没啥咖啡味 一般不推荐"	2023-04-05
88	Seesaw Coffee(竹辉环宇荟店)	"点的澳白，
咖啡没有萃取好，
感觉没什么味道"	2023-04-05
89	Seesaw Coffee(上海K11购物艺术中心B1店)	地方不大哦，	2023-04-05
90	Seesaw Coffee(上海田子坊店)	好难喝，好惊人[调皮]	2023-04-05
91	Seesaw Coffee(上海LCM店)	不好喝	2023-04-04
92	Seesaw Coffee(上海华润时代广场店)	感觉没有以前好喝了，这家外摆坐满，真正消费的不多，感觉生意不如从前，一切都是必然吧，店铺内部排布不合理，感觉硬割掉一块面积，位置坐的不舒服。店铺应该升级一下了。至少我不会再去这样的，因为选择太多，没什么特色，主要产品味道也很一般。消费者疲劳了。	2023-04-03
93	Seesaw Coffee(重庆光环店)	位置就在光环1楼 就在中间的广场 味道是好的但是服务员好像对活动一问三不知 别太荒谬 培训都没做好搞什么活动 像是我来找茬的一样 而且换了个牛奶感觉没以前好喝了[流汗]	2023-04-03
94	Seesaw Coffee(浦东嘉里城店)	没有什么特色，服务态度还很差，点单的时候非常不耐烦，明明只有一两个顾客，不知道为什么店员那么烦躁。	2023-04-03
95	Seesaw Coffee(上海龙湖虹桥天街店)	喝过好多家seesaw这家服务最差，感觉不好	2023-04-03
96	Seesaw Coffee(上海国创中心三期店)	这家seesaw在国创三期的3号楼一楼大厅里面，地方不是很大。不过本身Seesaw这个品牌吧，怎么说呢，对于一个不那么喜欢喝咖啡的人来说，味道也就那样，价格偏贵，唯一的优势是离得近，但旁边还有68元10杯的全家咖啡。。不过这家店靠窗的位置适合晒太阳，有时候同事约着谈事情还是不错的。	2023-04-03
97	Seesaw Coffee(上海中信泰富Mall B1店)	"想去静安寺附近玩，看到中信泰富只要消费了就能停4小时，所以，就去买了杯咖啡，主要是去蹭免费停车[调皮]
个人觉得咖啡口感一般，没有星爸爸的好喝，但是价格还不便宜，量也不多，所以，性价比么，emmmm，大家自己体会，我应该不会再去买这个了"	2023-04-02
98	Seesaw Coffee(深圳华润万象天地店)	甜品的份量真的有点小，咖啡好像也比普通的要小杯，确实不便宜	2023-04-02
99	Seesaw Coffee(上海BFC外滩金融中心店)	"整体普通,薄荷和草莓俩部分口感类似奶冻慕斯"	2023-04-01
100	Seesaw Coffee(上海芮欧店)	Seesaw的咖啡是好喝的，但调味咖啡吧感觉不是很行，一调味就没了咖啡味，很淡很淡，但调味糖浆么也不便宜，一般一泵就五块钱，还喝不到咖啡的味道…不光是seesaw其他家也是，很少有大型连锁咖啡店的调味咖啡是好喝的…还是那些小众的网红特调咖啡店好喝点	2023-04-01
101	Seesaw Coffee(上海芮欧店)	"等人才来买杯咖啡和小点心坐着。
Seesaw的小程序太难用了。
从来没用过他们小程序点单，非要跟我说我领过他们的优惠券…我很迷惑
折腾了一下退单、发优惠券、重新买单…只能说还好我在等人。
讲真你们家的品质&定价，属于我真不·会来的这种…"	2023-04-01
102	Seesaw Coffee(深圳华润万象天地店)	不是很好喝 略甜了 里面还有些梨果肉颗粒也不好喝 加一些不值钱的茉莉花干 ……..不推荐 踩个大雷	2023-04-01
103	Seesaw Coffee(北京西红门荟聚店)	不问甜度，直接给了我全糖，难喝死了	2023-04-01
104	Seesaw Coffee(杭州天目里店)	环境美好，但是服务比较冷淡，另外特调味道都挺奇怪的，总体来说不会是我的第一选择	2023-04-01
105	Seesaw Coffee(北京枫蓝国际购物中心店)	"繁星桂花拿铁，桂花寓意“富贵”，咖啡中桂花香味很浓，咖啡味道比较淡，总体还可以。

服务差：因为标准杯的量非常少，点餐时和服务员说，要加价升到大杯，但是服务员说点评购买的不能升杯，买的标准杯就只能是标准杯！因为是堂食，坐下以后，查看了一下兑换说明，有一条备注：本劵仅可兑换标准杯产品，升杯需额外加三元！就是说服务员不会操作，骗我不能升杯？！！"	2023-03-31
106	Seesaw Coffee(世茂广场店)	一直对seesaw印象很好，将咖啡渣整齐的装在环保杯待客人领取，只此一家。虽然减量不加价的隐形贵，依然愿意买单。但客观说这新品「栀子花梨香拿铁」略浮于表面，只是咖啡里加了几朵栀子花而已。香气有限，也不够融合，虽为天然不是糖浆，但这创意真心有点鸡肋。	2023-03-31
107	Seesaw Coffee(上海中化国际广场店)	点了杯桂花拿铁，量比较小。不太好喝，没香味。	2023-03-31
108	Seesaw Coffee(北京通州万达店)	看图吧，桌子和椅子都脏到难以置信，插座都是坏的，服务？？还有服务？？	2023-03-31
