门店名称,评论内容,评论日期
Seesaw Coffee(北京通州万达店),"seesaw开来通州有小半年了，终于有时间说尝试一把 外卖平台定的 就性价比而言不是很满意 先说包装费 3块钱的收费依据在哪？既不是保温包装 和去店里买的没差啊？难道店里买的话纸袋子也收费么？
然后口味 点的冰拿铁 味道整体偏淡 奶味和咖啡味都偏淡
碱水红豆包 16小小一个 价格不算低 口味还不错 碱水的口感加甜红豆",2022-04-20
Seesaw Coffee(武商MALL·武广店),"位置：国广中庭巷子里，还比较好找，但是第一次去完美错过了他们家[晕]
味道：无功无过，没有想象的那么惊艳
活动：小程序内新入会可以送满60减10的券
但是听闻店员说新开店的时候还会送咖啡杯，感觉也错过了一个世纪",2022-04-20
Seesaw Coffee(景枫中心店),桂花拿铁里桂花的香味浓郁，只是第一口喝下去满口桂花，这口感不太好。,2022-04-19
Seesaw Coffee(北京通州万达店),服务太差，服务人员口气太生硬了，和同是上海品牌的manner差太多，价格也不太亲民，加了份浓缩的澳白味道感觉浓郁些,2022-04-19
Seesaw Coffee(武商MALL·武广店),"隔壁manner不香么
又贵又不好喝有些员工态度也不行😅",2022-04-19
Seesaw Coffee(武商MALL·武广店),"就，武汉也开了一堆这些莫名其妙的咖啡店☕️
估计这几年疫情期间倒闭了一堆店[笑哭]
然后又开了一堆这种看着高大上的店子
价格是真不便宜，团了两杯栀子花拿铁[捂脸]
和盆友一直觉得，像喝奶茶一样[捂脸]
没啥咖啡味[呵呵]
拔草[凋谢]",2022-04-19
Seesaw Coffee(北京朝阳大悦城店),"无论燕麦抹茶拿铁（热），还是抹茶拿铁（冰）都淡如白水，颜色看着是好喝的，但味道真不好喝！还死贵～
让帮忙打包，不给密封、不给放吸管、不给放纸巾～
环境是真的好～在9楼，书店最里边。",2022-04-19
Seesaw Coffee(北京通州万达店),41一杯，拉花都懒得做,2022-04-17
Seesaw Coffee(北京朝阳大悦城店),"真的一言难尽，跑了这么老远来花券，结果最后本来的任务没完成，在这坐了半天
[薄荷]环境：
环境还是不错的，毕竟网红打卡地，最高处场地也很大，还是挺出片的
[服务铃]服务：
对于没有拍照欲望的我来说，服务就差了点，各种人都有，桌面上的卫生清理也不是特及时
萝卜白菜，各有所爱吧，看你什么需求啦～",2022-04-17
Seesaw Coffee(成都大悦城店),"服务：
服务真是差劲，两个男服务员连简单基础服务意识都没有。

口感：拿铁比较柔和

价格：品类均价比一般咖啡高

环境：店内空间狭窄，还在有露天的位置",2022-04-17
Seesaw Coffee(重庆光环店),就真的一般吧 没有什么印象深刻的点 想点那个柚香什么的 也没有了 所以点的「繁星桂花拿铁」,2022-04-17
Seesaw Coffee(杭州天目里店),可能我喝不来桂花味,2022-04-17
Seesaw Coffee(武商MALL·武广店),"打卡新咖啡店！
点了杏桃花蜂蜜拿铁和轻云桃桃美式。少糖的
味道令人失望，全是糖浆的味道，和咖啡没有关系。少糖都甜的不行。拿铁也没有奶的感觉。
总的来说，感觉和咖啡没什么关系。是个甜水饮料。感觉下次不会喝了。好处是喝了不会睡不着",2022-04-17
Seesaw Coffee(北京朝阳大悦城店),"服务贼差 可以说全北京最差最差的咖啡厅
千万别遇到这个店员 “秋天”我觉得他应该叫冬天 都不配
从点单开始就丧一张脸 我是来消费的 不是欠你钱
点两杯咖啡 15分钟+慢慢悠悠 我都替你着急😣
一会问点这个 一会干点别的 你要是新店员 我啥也不说 好歹你不是穿咖啡店店服吧 算是个领导吧 怪不得整个店都丧
要不是这个环境 要不是买了券 我是绝对不会来这里的
大杯咖啡 打开只有2/3我也是醉了 我买的大杯好吗
之前来过一次就碰到一个贼丧的服务员 
TM 周末好心情全被你丧到了 烦不烦啊 ！
我真对不起我点了两杯48元的咖啡 我白了她一眼 她都不敢再出那个玻璃房子 怪不得招聘这么费劲
全场只找到一个算是最佳店员 貌似店长",2022-04-17
Seesaw Coffee(深圳华润万象天地店),老客了，头一回遇到出品耽搁那么久，回头一看已经在桌子上了，就问了一声为什么没喊我（店里当时并不忙，就我一位），我还奇怪一杯冰澳白居然那么久（十二分钟），服务员极其冷漠的（态度很差的那种）回了一句本来也没做好多久，来喝那么多次头一回遇到态度那么恶劣的！,2022-04-17
Seesaw Coffee(北京三里屯机电院店),"「繁星桂花燕麦拿铁」桂花拿铁味道一般，上面撒了桂花瓣 一喝 喝一嘴[流泪]
店铺下单也很奇怪，叫我扫码下单，结果又扫不出来，还是要人工点餐[囧]
下午去的 店里也没什么人，就小小一家店，感觉没什么特色，过去剪头发 顺路买杯咖啡而已",2022-04-17
Seesaw Coffee(建邺吾悦广场店),贵，听说是网红，对于我只喝美式来说，没必要特意去喝,2022-04-17
Seesaw Coffee(杭州天目里店),环境服务都很好，但真是不咋好喝，买了美食、奥白、繁星桂花，都很一般，失望。,2022-04-16
Seesaw Coffee(武商MALL·武广店),大失所望，买的繁星桂花，除了桂花香精味道，咖啡味道几乎没有，这个价格跟星巴克差不多了，还没有星巴克好喝，估计不会去了，也没有%的日本咖啡好喝，感觉纯是噱头,2022-04-16
Seesaw Coffee(北京三里屯机电院店),"服务基本为零，店员只一句“扫健康宝”，其他啥也没有。本来就是打包带走，握着杯子觉得大热天还是有点热，就想套个杯托，服务员还说这是“双层杯”不热，热不热不得是顾客自己知道吗？难道我还想占一个杯托的便宜吗？我回了句“我依然觉得有点热”，服务员就不耐烦的连递出纸巾的手都收回去了，收回去了。。。
走了几步路，这咖啡漏的不成样子，只能庆幸自己还是要了个杯托
进店前还好奇为啥店里都没啥人，这回知道为啥了。。。",2022-04-16
Seesaw Coffee(北京朝阳大悦城店),"开放式环境，座位散落在植物装饰中。一开始还觉得很好看，但不知道为什么点评这家店差评那么多接下来发生的事，我马上就明白了。
当时想要杯温水喝，然后走到服务生Kim？旁边 我说麻烦给我杯温水。他一开始没回复我，然后我又说了一遍。他吼了一句，那边，吓我一跳。",2022-04-15
Seesaw Coffee(北京朝阳大悦城店),这是我感觉，体验度比较差的一家店吧，其实嗯，在最高层位置还是相当不错的，旁边还有风景座位，但是真的是太硬了，没有什么椅子，就是这样的台阶就是座位，还可以点桂花拿铁，一般般，服务态度也很一般,2022-04-14
Seesaw Coffee(武商MALL·武广店),"[薄荷]环境：
一般，星巴克的价格，装修比不上瑞幸

[服务铃]服务：
不知道是不是刚开业，员工太忙了或是培训不到位，有点手忙脚乱
「江城樱花拿铁」 上层奶油像草莓味可爱多，一股植脂奶油的味道，没有樱花的味道，冰很多，两口就喝完
「蔬菜蛋沙拉吐司三明治」劝大家不要买，有这钱还不如吃星爸爸的吞拿鱼三明治
总的来说，不知道怎么能火的，价格品质环境都一般",2022-04-14
Seesaw Coffee(武商MALL·武广店),就…很一般很一般,2022-04-14
Seesaw Coffee(武商MALL·武广店),"在上海就喝过，当时觉得味道偏淡，到了武汉的店还是一样的感觉，而且种类真的挺少的。不知道是不是因为去的比较晚？
「栀子花梨香拿铁」点了这个。放了几朵花，没花味有梨味。没什么特色和记忆点。四十几可以说是相当不值，这个价钱不如去小咖啡店喝特调。总之还有很大提升空间，不值得特意去。
上海的咖啡最近纷纷在武汉扎堆开店，还是觉得manner最好经济实惠[笑哭]",2022-04-14
Seesaw Coffee(北京西红门荟聚店),"周末上网课困到不行，点了杯附近很火的咖啡，桂花拿铁。包装很小清新，是用了一层纸隔离咖啡，但是杯口没贴胶带，感受上差一点儿。
「繁星桂花拿铁」这个喝着是满满的桂花味，口感像吃了一块桂花糕，咖啡的香味淡一些，所以总体来说，不太适合我，只适合喝个新鲜。",2022-04-14
Seesaw Coffee(杭州湖滨步行街店),龙井冰淇淋没啥茶味…,2022-04-14
Seesaw Coffee(上海太阳宫K46店),"浦西封控前的最后一天！我喝上了seesaw🌍

不得不说这杯印象很深刻，是因为真的难喝[笑哭]

疫情期间可以理解，仅剩下一名咖啡师实在是忙碌

-📣【麦乳精拿铁】

我只想喝招牌，因为牛奶没有了，竟然是燕麦奶！！

[失望]口感真的不好喝，豆子因为是深度烘焙些许苦涩，整体就好厚实浑浊，真的不太好喝，但是也能理解……

好吧，匆匆忙忙的一杯咖啡回家封闭了

☑️",2022-04-13
Seesaw Coffee(北京三里屯机电院店),路过机电院正好来打卡，以前老点它家外卖拿铁，觉得很好喝，这次来店里体验，点了「栀子花梨香拿铁」和「路易柠檬茶」，我能说。。。真的。。很一般么。。。反正没在我的点上，还是老老实实喝最普通的就好,2022-04-13
Seesaw Coffee(世博源店),"带着ipad和电脑来到了这里
点完咖啡，要了个店内杯
找个大桌子坐下来
发现没有插电口，问了店员，整家店都没有插电的
作为一个咖啡店，这个还是个大bug
遥望对面的星爸爸，他关门了。
电脑支持了一个小时，没电了
无奈只能撤退…
美中不足",2022-04-12
Seesaw Coffee(北京西红门荟聚店),千万别相信推荐！！摸着良心说，这是我喝过最难喝的咖啡！尝完之后我和我朋友都是黑人问号脸？？？难喝到怀疑人生！点的大杯51元/杯，然后我点了两杯推荐的招牌咖啡总共102元，椰子燕麦拿铁和栀子花香拿铁。栀子花梨香拿铁一股花味劣质香精的味道！竟然喝出了洗发水的味道！有没有！！椰子燕麦拿铁感觉水放多了，就是那种清汤寡水的感觉，里面的椰子味道我觉得是印象中海南椰子糖的味道。太难喝了！102元买了两杯啥玩意！难喝性价比太低！说好喝的我怀疑都是托！！能不能别玩营销！你确定这是招牌？！这是砸招牌的饮品吧！我很少写评论，因为懒！但是难喝到让我来吐槽也是没谁了！！,2022-04-12
Seesaw Coffee(杭州天目里店),环境都还OK的～周末去打卡的，店里坐满了人，不少上班族都还是带着电脑去的，本想团购，结果告知套餐内的蛋糕都没有了，所以就不能用套餐，也挺无语的，热门的蛋糕都还没有………美式喝起来有点气泡水，后劲是一股酸味，第一次喝这样的美式「元气美式」喝不太习惯，栀子拿铁「栀子花梨香拿铁」也觉得一般般吧……喜欢花香的可以去尝试，价格超过星巴克了已经，人均60了都……仅限打卡吧「浓郁黑巧脆脆蛋糕」对了…这个也一般般…真的不推荐,2022-04-12
Seesaw Coffee(北京朝阳大悦城店),空间很大，座很少，也不舒服。周六日去根本找不到座，而且都是那种只适合俩人的座位...... 而且挺吵的,2022-04-11
Seesaw Coffee(北京朝阳大悦城店),"团了个新品套餐，略坑……
还得是正常咖啡，创新什么的就duck不必了，啥🍑味的美式，还有拿铁，甜不甜，酸不酸的，腻腻歪歪不好喝
咖啡还是强调咖啡豆的味道吧，就不用像奶茶那么卷了，也卷不明白……",2022-04-11
Seesaw Coffee(杭州湖滨步行街店),"香椿毛豆恰巴塔✅
没有香椿味道！有点失望",2022-04-11
Seesaw Coffee(成都大悦城店),"对seesaw并没有什么偏见，最早是看到天猫有卖，然后又看到有实体店，心想这个品牌肯定不简单，又偶然看到有文章聊到这几年做大了的国内几个大的咖啡品牌都拿了很多融资啥啥啥的。
这是第一次来seesaw，就在大悦城这家，我点的柠檬气泡水，女朋友点的叫元气美式还是啥soe美式。
下面我开始客观的吐槽，首先是价格，完全不值，不知道是哪里来的底气，一杯咖啡要40，还是标准杯不是大杯，你说特别有特色很好喝或者杯子很漂亮都行总有个让我觉得值的地方吧，完全没有！！！
最奇葩的就是这个柠檬气泡水了，一杯30，什么味道呢，就基本上是一杯雪碧加冰，然后里面有2片干柠檬！！！我真的满脸问号？？？这种干柠檬不都要用开水泡吗才泡的出味道吗，放在冰水里面泡到底是什么意思？？是觉得不配用鲜柠檬吗？？？整个人极其不舒服。有一种智商被侮辱的感觉！！就算是用鲜柠檬，当然我也会觉得完全不值！！
是一次非常特别不好的体验！失望至极！！",2022-04-10
Seesaw Coffee(北京通州万达店),小程序下单，等了5分钟左右，2杯繁星桂花拿铁，一凉一热，感觉口味一般，不太好喝。,2022-04-10
Seesaw Coffee(武商MALL·武广店),凑个热闹 很一般 价格高 旁边就是manner 亚历山大[调皮],2022-04-10
Seesaw Coffee(武商MALL·武广店),"我想说真的很丑
很努力的想把它拍的好看点
但是无能为力
实物真的快丑哭了
璐璐同学被武广的巨幕广告吸引而来
想说黄金地段  应该不会太差
看到店员挤奶油的时候我就知道
翻车了
挤奶油的手艺可以去隔壁茶颜学学  真的
颜控的我  完全不想要去喝它
味道也不讨喜  
买块蛋糕  店员可以拿错3次  来来回回换了3次
真的有经过培训再上岗吗？
🤔",2022-04-10
Seesaw Coffee(北京朝阳大悦城店),"经常来seesaw，今天真的是被气到了！！！

出咖啡慢到离谱，一起点单的朋友在我前面一个，拿到手20分钟之后我的还是没好。我中间去问柜台，说让我回去等叫号提示，他们正在制作。明明咖啡机前都没人，店员都在吧台坐着或者到处溜达收拾东西。又过了10分钟去问，才刚刚开始做，就离大谱！！！！还说可以帮我提前做？？？本来早就应该给我做了好吗！！！简直夸张。

而且座位的桌子很多垃圾提醒了几次也没有收走。平时很喜欢过来，有很多绿植布置得很好，只是人多一点。今天.….无语

不过新品杏桃拿铁味道真不错！！！好喝！但越想越气

在大悦城9层书店的后面。",2022-04-09
Seesaw Coffee(成都摩方店),坐起不舒服,2022-04-09
Seesaw Coffee(远洋乐堤港店),"之前在上海喝过，繁星桂花拿铁还是留下蛮不错的印象。

今天路过乐堤港发现杭州也开了，便来尝试一下。

刚好有新款，轻云桃桃美式，就点了试了一下。没想到真的难喝1b,口味完全不搭。

以后还是别轻易尝试这些奇怪的味道了

总体用料，环境还是不错，但不建议尝试和水果味混合的咖啡。",2022-04-09
Seesaw Coffee(北京双井富力广场店),咖啡不能去冰是什么鬼？,2022-04-08
Seesaw Coffee(杭州萧山万象汇店),"疫情期间，整个商场人都不多
零零散散几个人
算是第一次来这个店，算是顶配的咖啡设备，咖啡味道还不错。
3个人上班，算是在疫情期间看到比较多的店员了，
店里也不算忙，二楼可以坐下来歇息，但是二楼基本上都没收拾，所以坐的位置⬆️都是遗留下来的垃圾，不理解的是，三个人上班一直在聊天，全店只听到店员聊天的声音，却没有人来二楼收拾一下，这服务意识和工作态度及品牌形象，简直堪忧……",2022-04-08
Seesaw Coffee(深圳壹方城店),最差的体验，没有之一。服务员板着脸。点餐员丝毫无笑容。感觉很差！不会再来！,2022-04-08
Seesaw Coffee(武商MALL·武广店),"感觉单价比上海的贵
不知道是不是错觉
咖啡太甜了 活动价也没有多合适
店很小 以前的奈雪改的 服务不太专业 但是态度还可以 店铺收拾的不太及时
脏脏的粘粘的感觉
咖啡份量性价比啥的不如喝其他家
周边产品好少 连marimekko的联名也没有 总之有点失望咯",2022-04-07
Seesaw Coffee(杭州湖滨步行街店),"点了份打包的下午茶
咖啡味道依然在线 但是…
蛋糕超级难吃 超级难吃 超级难吃[流泪]
上个月就看到很多人买了这款新品
很担心这种蛋糕是只有颜值没有内在 还特意看了大家的点评 
结果太失望了
也不知道是不是因为存放太久了 还是原来就是这个味道的？
我一打开盒子闻到的竟然是一股子发酸的奶味，是不是快过期了啊 [快哭了]
里面的蛋糕胚也是粒粒碎掉的那种 看着像时间很久了呢
外面的慕斯吃起来感觉怪怪的，尝了一口还是决定扔掉了[心碎]
电话问了 店员说没有放很久 
那看来就是这种怪异的味道 
可惜了我想吃甜点却没吃到 [凋谢]还是去别家赶紧点一份下午茶安慰下自己了[猪头]",2022-04-07
Seesaw Coffee(中骏世界城店),"今天咖啡不知道怎么回事，品质非常差，

明明是燕麦拿铁，喝着像水一样，兑的不是燕麦奶，是水吧！真的很差。很差很差。",2022-04-07
Seesaw Coffee(上海IM长宁国际店),店员对咖啡豆的价格不清楚，需要查iPad 。浓甜薯这款好难喝。,2022-04-07
Seesaw Coffee(北京西红门荟聚店),"整体偏齁甜！而且没有什么咖啡味儿基本上被其他用料的香味给遮盖了…
「轻云桃桃美式」甜度超标…也请店里咖啡师做之前征询一下顾客的口味吧。（不是矫情这是最基本的服务）
「杏桃花蜂蜜拿铁」「繁星桂花拿铁」杏桃花的香料味基本上遮住咖啡味，没有太多层次感，很一般。",2022-04-07
Seesaw Coffee(武商MALL·武广店),"第一天起个大早去排队，体验超级差。大概是第七个进店的顾客，7.34排队点单速度超级慢（前面只有两位）7.42下两单到店的顾客三四个，其他全是线上和外卖👋吧台里三个人做饮品非常混乱
8.12拿到饮品🧃（武汉限定江城樱花拿铁一热一冰）
咖啡味没有咖啡味，上面的草莓奶油也很一般，3⃣️8⃣️一杯的SOE就寡淡，不如等到八点半隔壁Manner开门🙄️
喜茶入股一亿的seesaw也搞起饥饿营销模式
开业第一天正价购买限定饮品送随行杯的活动，也在12:00左右抢购而空[黑薯问号R]
武汉人真的很喜欢这些限量的东西
同期出的周边产品还有武汉限定的帆布袋，也只不过是印了个WUHAN😅",2022-04-07
Seesaw Coffee(远洋乐堤港店),别家seesaw味道挺好的 这家实在难喝,2022-04-06
Seesaw Coffee(武商MALL·武广店),"开业第一天去的很早  点了限定单品获得了一个玻璃杯

但这个限定单品真的没有让我再尝试其他咖啡的想法。第一口仿佛喝了急支糖浆  酸酸甜甜苦苦的  说不上来的味道 

酸酸的估计是上面的果肉或者是咖啡豆本身的苦味，甜甜的估计是糖浆，苦苦的就是咖啡了  反正有一片落地窗的桌台上  我垫了一下上面的杯子  都是喝了一两口就扔了的

另外就是太贵了，38一杯，估计没有300ml。",2022-04-06
Seesaw Coffee(武商MALL·武广店),"大失所望。这还是以前的seesaw吗？资本进入就被称这个鬼样子？
点的是拿铁，拿到手上打开盖子我惊呆了，不知道说啥了。
就当打个卡吧。
[薄荷]环境：
环境整体比较干净，线条简单，和大多数商业店差不多。
[服务铃]服务：
服务一般吧，主要是到店的时候没多少人，前台收银的小姐姐像是在忙着填表格，我们站了半天也没反应过来。可能是开业前几天，有优惠减了5块钱。
看了下菜单价格不便宜，而且很多花里胡哨的饮品，说是武汉特供，对我而言没什么吸引力，反倒更网红的成分居多，因为没什么新颖和创意。价格基本是48左右。
正常的奶咖也是30+。价格没什么优势。主要是奶泡打得太差了。瞬间觉得十几块的manner太香了。",2022-04-05
Seesaw Coffee(远洋乐堤港店),"这价格喝点好喝的不香吗？某巴克是狗都不喝了，豆子差的连我这种不讲究的，拿铁都喝不下去

可惜店面小了点没有豆子卖，新会员领了优惠券，有效期也超长，有些店巴不得你今天领明天用，这家居然三个月",2022-04-05
Seesaw Coffee(深圳壹方城店),假期好几次来喝都点单超级久，就一个咖啡师在做，就不能请多两个人吗，体验感好差,2022-04-05
Seesaw Coffee(杭州天目里店),特地跑到天目里来打卡seasaw，手机点单下了一杯去冰的，到手是冰的，跟店员说我要去冰的，直接给我换了个杯子倒出来，冰块直接捞出，然后发现少了三分之一，直接往里面倒了点椰奶，整个咖啡喝起来完全没有咖啡味，淡的跟水一样，咖啡观感也很差，真的非常失望,2022-04-05
Seesaw Coffee(武商MALL·武广店),和同事小伙伴们点的冰热两款樱花拿铁，讲道理有点自己砸招牌了，奶油拉花拉的巨差，人🍉同学都要现场指导了！更无语的是蛋糕弄错三次，让醒哥跑了三次腿，这业务能力怕是得再培训三个月再出来吧，还华中首家，怕是仅此一家了。。。,2022-04-05
Seesaw Coffee(武商MALL·武广店),"服务还不错，不过有两个问题。
第一个是和stender开在一起，一进去满屋的精油味，闻不到咖啡香。
第二个是咖啡机是辣妈的，做出来的咖啡还没自己在家做的好喝。有点失望
加油吧。",2022-04-05
Seesaw Coffee(武商MALL·武广店),"风很大，雨点却很小。
个人觉得，性价比不如隔壁10块一杯的manner。
A cap of good idea？
sorry，我真的没看出来这一杯的idea给咖啡的口感和味道带来了什么提升。
如果没有一个金舌头，我想很难尝出来这一杯杯莺莺燕燕的咖啡和普通的拿铁有什么不同。
点了一杯最贵的，栀子花梨香拿铁，RMB48.
栀子花？梨香？你认真的吗？
作为一个打工仔，我还是愿意拿着自己的杯子下楼打一杯10块钱的拿铁在电脑前昏昏欲睡一个下午，而不是花48坐在楼下仔细分辨和想象A cap of good idea里的奇遇与冒险。",2022-04-05
Seesaw Coffee(北京双井富力广场店),"第一次喝seesaw体验一般
桂花拿铁「繁星桂花拿铁」看到好多人推荐，因为天气还有点冷，就点了 热的 半糖

味道比较苦，感觉咖啡和桂花的味道不是很搭，有点怪怪的，并且有桂花花瓣，我不太喜欢这个口感，而且有点腻，如果是冰的可能会好一些吧",2022-04-04
Seesaw Coffee(武商MALL·武广店),在武商广场一楼，新开店，打卡体验不咋滴。点单扫码有优惠，但总体价格在咖啡类店相比较，价格略高，咖啡还不是纯粹，很多花色、果味，栀子花拿铁48元一杯，没有主动询问甜度选择，标准甜度有点腻，桂花拿铁也是一样甜过头了，如果是咖啡爱好，还是选择专业咖啡店吧。,2022-04-04
Seesaw Coffee(北京枫蓝国际购物中心店),口味一般，用料（比如配套的糖葫芦和干水果片）肉眼可见的不太新鲜。工作人员倒是不错。,2022-04-04
